[HC2000],sepHC_Kim,ra_1,dec_1,ID_Kim,ra_2,dec_2,mualpha,mualpha_err,mudelta,mudelta_err,Nepochs,dT,mag139,flag,RAJ2000_1,DECJ2000,RAJ2000_2,DEJ2000,l_Kmag,Kmag,l_Hmag,Hmag,e_Kmag,e_Hmag,OptID,AltID,sepHC_daRio,ra,dec,ID_daRio,RAh,RAm,RAs,DE-,DEd,DEm,DEs,logT,Temp(daRio),e_logT,logL,e_logL,AV,e_AV,f_BMass,BMass,e_BMass,l_logBA,logBA,e_logBA,DMass,e_DMass,logDA,e_logDA,Temp_daRio,Temp_us,eTemp_us,eTemp_us_STD,RV_us,RVe_us,RVe_us_STD,vsini_us,vsinie_us,vsinie_us_STD,sepHC_APOGEE,veiling_O32,veiling_O33,2MASS,ra_apogee,dec_apogee,RV_apogee,RVe_apogee,Temp_apogee,eTemp_apogee,raT,decT,RV_tobin,RVe_tobin,ID

171,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 16.38,-05 24 03.4,,,,9.159,0.004,0.003,515,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

172,0.04766658869,83.81507132,-5.40085543,37,83.81507132,-5.40085543,0.54,0.11,-1.8,0.02,3,14.6,10.75,,83.81506898,-5.40084768,05 35 15.62,-05 24 03.1,,9.793,,10.111,0.003,0.003,480,,0.1797238637,83.81504167,-5.400888889,130,5,35,15.61,-,5,24,3.2,3.591,,0.01,-0.014,0.045,0.521,0.211,,1.067,0.093,,6.365,0.053,0.376,0.032,5.651,0.01,3899.419867,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,83.815075,-5.400847222,22.1,35.6,0535156-052403

173,0.1476953391,83.7917976,-5.40053512,356,83.7917976,-5.40053512,0.69,1.13,-0.33,0.01,3,16.3,14.9,,83.79179462,-5.400533699,05 35 10.04,-05 24 02.0,,12.303,,13.249,0.004,0.004,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

174,0.01832718093,83.8251687,-5.40085644,321,83.8251687,-5.40085644,-0.69,0.19,1.35,0.27,4,19.3,10.57,,83.82517168,-5.400862253,05 35 18.04,-05 24 03.1,,,,9.892,0.003,0.004,9210,,0.298668165,83.82508333,-5.400861111,176,5,35,18.02,-,5,24,3.1,3.569,,0.01,-0.836,0.056,2.631,0.274,,0.664,0.08,,7.195,0.098,0.517,0.085,6.889,0.108,3706.807218,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

175,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 07.64,-05 24 00.8,,11.839,,12.019,0.005,0.002,305,,0.359448006,83.78175,-5.400166667,98,5,35,7.62,-,5,24,0.6,3.518,,0.004,-0.816,0.06,0.584,0.27,,0.281,0.021,,6.35,0.068,0.203,0.011,6.161,0.061,3296.097122,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

176,0.01812825604,83.83303753,-5.40072512,281,83.83303753,-5.40072512,-0.74,0.19,0.01,0.23,4,19.3,12.91,,83.83304073,-5.400725163,05 35 19.93,-05 24 02.6,,11.781,,12.15,0.005,0.003,9256,,0,83.83304167,-5.400722222,199,5,35,19.93,-,5,24,2.6,3.486,,0.002,-0.861,0.039,0.652,0.168,~,0.126,,<,6,,0.146,0.003,6.077,0.101,3061.963434,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

177,0.1360120512,83.82530191,-5.40031215,174,83.82530191,-5.40031215,-1.06,0.27,0.41,0.49,4,19.3,11.97,,83.82530642,-5.400313887,05 35 18.08,-05 24 01.2,,10.326,,11.001,0.005,0.005,575,,0.3149648111,83.82541667,-5.400305556,1375,5,35,18.1,-,5,24,1.1,3.504,,0.001,-0.391,0.027,1.366,0.112,~,0.2,,<,6,,0.154,0.002,5.072,0.051,3191.537855,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

178,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 13.55,-05 23 59.7,,11.373,,13.006,0.005,0.008,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

179,0.07305370078,83.79141047,-5.39970289,418,83.79141047,-5.39970289,0.62,0.86,-1.17,0.04,3,16.3,17.29,,83.79140779,-5.399697852,05 35 09.94,-05 23 59.0,,16.443,,16.727,0.091,0.038,9003,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

180,0.05724855726,83.8224459,-5.40007335,179,83.8224459,-5.40007335,0.28,0.23,-2.25,0.15,4,19.3,12.36,,83.82244469,-5.400063662,05 35 17.39,-05 24 00.3,,10.044,,11.197,0.002,0.002,549,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

181,0.08758135978,83.85402071,-5.40042958,165,83.85402071,-5.40042958,-2.54,0.24,-0.56,0.45,4,16.3,12.72,,83.8540317,-5.400427169,05 35 24.96,-05 24 01.5,,10.953,,11.692,0.004,0.004,OW-250-402,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

182,0.1102376997,83.82068227,-5.3998875,673,83.82068227,-5.3998875,0.46,0.06,-0.64,0.09,2,9.9,16.26,,83.82068028,-5.399884744,05 35 16.96,-05 23 59.5,,13.237,,14.264,0.04,0.058,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

183,0.03152938239,83.85196697,-5.40030389,269,83.85196697,-5.40030389,-0.97,0.24,2.31,0.04,4,16.3,13.33,,83.85197117,-5.400313836,05 35 24.47,-05 24 01.1,,11.805,,12.695,0.006,0.004,757,,0.1,83.85195833,-5.400333333,1244,5,35,24.47,-,5,24,1.2,3.478,,0.005,-1.023,0.08,1.194,0.481,~,0.101,,<,6,,0.138,0.007,6.209,0.058,3006.076303,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

184,0.1019617113,83.83833645,-5.40005593,371,83.83833645,-5.40005593,-0.74,0.16,-1.52,0.42,4,9.3,13.81,,83.83833965,-5.400049385,05 35 21.20,-05 24 00.1,,12.644,,13.24,0.006,0.007,9276,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

185,0.03230857554,83.82712263,-5.39938023,284,83.82712263,-5.39938023,0.51,0.23,-1.86,0.18,4,16.3,15.24,,83.82712052,-5.399372577,05 35 18.51,-05 23 57.8,,13.407,,14.221,0.013,0.014,9229,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

186,0.2169037758,83.79031462,-5.3988652,357,83.79031462,-5.3988652,-0.84,0.32,1.16,0.07,3,16.3,13.38,,83.79031825,-5.398870195,05 35 09.69,-05 23 55.9,,10.637,,11.61,0.003,0.003,9001,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

188,0.09832558198,83.83172513,-5.39926153,559,83.83172513,-5.39926153,0.41,0.52,-0.83,0.18,2,14,12.46,,83.83172338,-5.399257994,05 35 19.62,-05 23 57.3,,11.594,,11.797,0.004,0.003,620,,0.1493344794,83.83170833,-5.39925,192,5,35,19.61,-,5,23,57.3,3.542,,0.002,-0.726,0.028,0.791,0.12,,0.441,0.018,,6.62,0.038,0.291,0.009,6.27,0.038,3483.37315,3474.86,25.48,73.30,29.74,0.25,0.64,6.90,0.56,1.72,-9999,0.015,0.013,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

189,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 14.53,-05 23 56.0,,11.227,,12.676,0.028,0.026,,MS-9,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

190,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 13.23,-05 23 55.5,,14.251,,15.887,0.039,0.083,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

191,0.04921627313,83.82782957,-5.39901463,103,83.82782957,-5.39901463,-0.87,0.26,-0.75,0.12,6,19.3,13.28,,83.82783333,-5.399011401,05 35 18.68,-05 23 56.5,,12.076,,12.508,0.007,0.005,9232,MS-116,0.1797242447,83.82779167,-5.399,186,5,35,18.67,-,5,23,56.4,3.498,,0.004,-0.92,0.042,1.09,0.189,,0.192,0.019,,6.2,0.068,0.166,0.007,6.176,0.039,3147.748314,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

192,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 13.59,-05 23 55.3,,10.242,,13.125,0.012,0.022,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

193,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 14.53,-05 23 55.1,>,11.984,>,12.543,0.036,0.031,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

194,0.08217613702,83.82310571,-5.39862655,497,83.82310571,-5.39862655,-0.55,0.28,0.24,0.22,3,19.2,16.48,,83.82310808,-5.398627579,05 35 17.55,-05 23 55.1,,14.059,,15.683,0.029,0.07,OW-175-355,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

195,0.04645097438,83.81266652,-5.39845932,290,83.81266652,-5.39845932,-1.56,0.35,-1.34,0.26,6,16.9,13.45,,83.81267327,-5.39845355,05 35 15.04,-05 23 54.5,,12.247,,12.587,0.015,0.012,,MS-20,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

196,0.04403384037,83.8375924,-5.39881381,152,83.8375924,-5.39881381,0.23,0.28,-1.41,0.19,5,19.3,13.3,,83.83759143,-5.39880789,05 35 21.02,-05 23 55.7,,12.026,,12.432,0.004,0.003,9272,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

197,0.06636274991,83.84119352,-5.39876106,139,83.84119352,-5.39876106,0.98,0.09,0.84,0.21,5,19.3,12.66,,83.84118937,-5.398764603,05 35 21.89,-05 23 55.5,,10.989,,11.482,0.003,0.006,9292,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,

198,0.05031821367,83.80574143,-5.39810004,207,83.80574143,-5.39810004,0.79,0.29,0.66,0.16,4,16.3,14.2,,83.80573801,-5.398102882,05 35 13.38,-05 23 53.2,,12.151,,13.046,0.005,0.007,9040,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

199,0.1154329421,83.80547426,-5.39806406,209,83.80547426,-5.39806406,-3.77,0.48,1.14,0.19,6,16.3,14.77,,83.80547426,-5.39806406,05 35 13.32,-05 23 53.1,>,12.343,>,13.27,0.01,0.011,9037,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

200,0.0644677498,83.84393371,-5.39854983,462,83.84393371,-5.39854983,0.78,0.01,0.01,0.01,4,11,17.19,,83.84393034,-5.398549873,05 35 22.54,-05 23 54.8,,15.493,,16.03,0.03,0.029,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

201,0.1092907166,83.85190546,-5.39861254,270,83.85190546,-5.39861254,1.79,0.32,-0.92,0.19,6,16.9,14.64,,83.85189772,-5.398608579,05 35 24.45,-05 23 55.0,,13.257,,13.831,0.009,0.007,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

202,0.06628224282,83.81668513,-5.3980545,615,83.81668513,-5.3980545,2.8,0.06,-1.56,0.08,2,6.5,10.3,,83.81668513,-5.3980545,05 35 16.00,-05 23 53.0,,9.002,,9.807,0.007,0.006,503,MS-53,0.1493347737,83.81670833,-5.398055556,132,5,35,16.01,-,5,23,53,3.809,,0.01,0.771,0.03,3.904,0.087,,0.002,,,,0.004,1.467,0.013,7.07,0.008,6441.692655,3393.40,26.26,204.18,25.69,0.74,1.20,42.27,1.01,2.95,0.86,0.865,0.750,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

203,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 11.48,-05 23 52.1,,12.526,,14.264,0.014,0.028,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

204,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 21.81,-05 23 53.9,,9.372,,9.783,0.003,0.003,698,,0.1493347121,83.84083333,-5.398305556,213,5,35,21.8,-,5,23,53.9,3.675,,0.01,0.38,0.034,1.095,0.157,,,,,,,0.942,0.217,5.897,0.148,4731.51259,3711.86,34.51,50.43,24.73,0.66,0.55,48.16,0.85,2.56,-9999,0.319,0.278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,83.84083333,-5.3983,23.2,3.1,0535218-052353

205,0.1127779793,83.7988613,-5.39769402,223,83.7988613,-5.39769402,1.07,0.08,1.49,0.45,6,19.2,13.71,,83.79885667,-5.397700435,05 35 11.73,-05 23 51.8,,12.328,,12.794,0.007,0.008,368,,0.4269670985,83.79883333,-5.397611111,113,5,35,11.72,-,5,23,51.4,3.507,,0.01,-1.173,0.017,0,0.549,,0.21,0.036,,6.605,0.161,0.196,0.025,6.537,0.113,3213.660539,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

206,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 12.39,-05 23 51.7,,12.18,,13.898,0.008,0.015,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

207,0.0643461564,83.83615205,-5.39812149,72,83.83615205,-5.39812149,0.09,0.12,0.31,0.05,5,19.3,11.99,,83.83615166,-5.398122823,05 35 20.68,-05 23 53.2,,10.783,,11.106,0.003,0.002,659,,0.44800428,83.83604167,-5.398111111,200,5,35,20.65,-,5,23,53.2,3.48,,0.003,-0.439,0.044,0.662,0.236,~,0.108,,<,6,,0.123,0.003,4.857,0.072,3019.95172,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

208,0.06427344202,83.85451191,-5.39826443,565,83.85451191,-5.39826443,-0.1,0.21,0.56,0.15,2,14,12.04,,83.85451234,-5.398266831,05 35 25.08,-05 23 53.8,,10.525,,11.078,0.004,0.004,768,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

209,0.1737884608,83.81074788,-5.39741651,201,83.81074788,-5.39741651,0.6,0.01,0.3,0.05,3,10,15.24,,83.81074529,-5.397417802,05 35 14.57,-05 23 50.8,,13.226,,14.175,0.012,0.019,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

210,0.1012049092,83.83272269,-5.39765952,380,83.83272269,-5.39765952,0.24,0.12,-0.37,0.24,4,16.9,16.45,,83.83272165,-5.397657927,05 35 19.86,-05 23 51.6,,14.676,,15.388,0.025,0.018,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

211,0.07450659445,83.81354607,-5.39714644,675,83.81354607,-5.39714644,-0.6,0.13,0.65,0.11,2,9.9,16.5,,83.81354864,-5.397149212,05 35 15.25,-05 23 49.8,,16.704,,16.839,1.075,0.746,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

212,0.06630185747,83.84808201,-5.39748163,271,83.84808201,-5.39748163,-1.8,0.02,-1.54,0.67,4,11,15.64,,83.84808979,-5.397474999,05 35 23.54,-05 23 51.0,,14.22,,14.921,0.027,0.024,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

213,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 15.95,-05 23 49.9,,,,,0.008,0.007,499,MS-52,0.3351133256,83.81641667,-5.397111111,147,5,35,15.94,-,5,23,49.6,3.722,,0.01,0.941,0.036,2.615,0.117,,,,,,,2.313,0.178,6.002,0.136,5272.298614,-10.00,,,-10.00,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

214,0.06709789955,83.82946891,-5.39712649,148,83.82946891,-5.39712649,1.86,0.36,-1.37,1.24,3,14,11.7,,83.82946087,-5.397120591,05 35 19.07,-05 23 49.6,,10.085,,11.118,0.002,0.003,607,MS-120,0.1,83.82945833,-5.397083333,189,5,35,19.07,-,5,23,49.5,3.713,,0.01,-0.22,0.029,2.447,0.122,,0.949,0.038,,7.655,0.373,0.983,0.017,7.291,0.073,5164.163693,-10.00,,,-10.00,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

215,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 12.28,-05 23 48.1,,9.72,,10.027,0.003,0.003,378,,0.35944945,83.80108333,-5.396638889,115,5,35,12.26,-,5,23,47.9,3.585,,0.01,0.087,0.04,0.24,0.208,,1.04,0.105,,6.145,0.064,0.335,0.03,5.452,0.137,3845.91782,3641.08,33.09,11.49,27.91,0.26,0.30,9.03,0.61,1.41,0.1575362632,0.232,0.202,2M05351227-0523479,83.80114746,-5.396655083,27.4183,0.539868,4210.24,39.554,83.80125,-5.3966,27.9,0.4,0535123-052347

216,0.05258672711,83.84646927,-5.39701804,272,83.84646927,-5.39701804,0.68,0.04,1.06,0.03,5,11,15.52,,83.84646633,-5.397022604,05 35 23.15,-05 23 49.3,,13.929,,14.6,0.01,0.01,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

217,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 21.05,-05 23 49.0,,,,,0.003,0.004,669,,0.2,83.83770833,-5.397,185,5,35,21.05,-,5,23,49.2,3.706,,0.01,0.812,0.03,1.457,0.126,,,,,,,1.85,0.238,5.896,0.115,5081.594426,3613.69,14.61,32.99,29.73,0.34,0.82,47.35,0.40,0.89,0.08836021449,0.260,0.226,2M05352104-0523490,83.83768463,-5.396951199,31.1886,0.865882,4508.73,26.7636,-9999,-9999,-9999,-9999,-9999

218,0.04890409103,83.84053406,-5.3967665,275,83.84053406,-5.3967665,-0.24,0.15,1.69,0.13,3,19.9,14.21,,83.8405351,-5.396773777,05 35 21.73,-05 23 48.4,,12.962,,13.379,0.008,0.011,9287,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

219,0.0442485365,83.81317593,-5.39629743,87,83.81317593,-5.39629743,1.87,0.06,-0.65,0.02,4,16.9,12.11,,83.81316784,-5.396294631,05 35 15.16,-05 23 46.7,,10.918,,11.49,0.012,0.008,464,MS-21,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,3485.60,46.71,56.71,24.08,0.47,0.89,20.78,0.80,1.40,-9999,0.495,0.428,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

220,0.08422297333,83.81176136,-5.39622952,23,83.81176136,-5.39622952,-1.66,0.4,0.08,0.13,5,16.9,12.75,,83.81176854,-5.396229864,05 35 14.82,-05 23 46.5,,11.514,,11.864,0.005,0.004,453,MS-14,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,3483.69,12.02,19.30,33.47,0.21,0.37,9.04,0.30,0.30,-9999,0.021,0.018,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

221,0.0252496302,83.82586835,-5.39619676,362,83.82586835,-5.39619676,-1.35,0.11,-2.62,0.24,5,16.9,15.95,,83.82587419,-5.396185479,05 35 18.21,-05 23 46.3,,14.459,,15.167,0.042,0.037,9215,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

222,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 13.68,-05 23 45.4,,13.882,,15.739,0.032,0.089,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

223,0.06169733498,83.81434924,-5.39596567,164,83.81434924,-5.39596567,1.1,0.08,-0.68,0.23,4,16.9,11.16,,83.81434458,-5.395962802,05 35 15.44,-05 23 45.5,,9.88,,10.463,0.003,0.003,475,MS-30,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,3358.77,15.99,3.31,27.45,0.22,0.40,9.74,0.42,0.69,-9999,0.365,0.315,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

224,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 10.74,-05 23 44.7,,,,,0.005,0.005,352,,0.1493353414,83.79479167,-5.39575,109,5,35,10.75,-,5,23,44.7,3.597,,0.01,0.824,0.051,0.42,0.233,~,1.185,,<,6,,0.303,0.033,3.634,0.072,3953.666201,3859.16,19.03,21.44,25.94,0.19,0.15,24.94,0.17,0.58,-9999,0.001,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

225,0.0832696423,83.83878362,-5.39613281,42,83.83878362,-5.39613281,-0.02,0.1,0.65,0.04,4,19.3,13.51,,83.83878371,-5.396135609,05 35 21.31,-05 23 46.0,>,10.875,>,11.536,0.004,0.005,681,,0.1797248358,83.83875,-5.396138889,220,5,35,21.3,-,5,23,46.1,3.609,,0.01,-0.442,0.061,1.485,0.283,,0.988,0.049,,7.13,0.04,0.665,0.038,6.565,0.057,4064.433292,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,

226,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 25.09,-05 23 46.7,,9.931,,10.205,0.003,0.003,769,,0.179724796,83.8545,-5.396333333,908,5,35,25.08,-,5,23,46.8,3.662,,0.01,0.234,0.036,1.53,0.174,,,,,,,0.752,0.112,5.887,0.088,4591.980128,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,83.85466667,-5.3964,26.6,0.9,0535251-052347

227,0.1072712486,83.84857005,-5.39619552,509,83.84857005,-5.39619552,0.14,0.08,1.02,0.1,2,10.4,12.15,,83.84856944,-5.396199912,05 35 23.66,-05 23 46.4,,10.962,,11.365,0.003,0.004,740,,0.4992034196,83.8485,-5.396111111,911,5,35,23.64,-,5,23,46,3.527,,0.003,-0.59,0.039,0.717,0.158,,0.363,0.02,,6.235,0.049,0.221,0.01,5.992,0.037,3365.115694,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

228,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 12.60,-05 23 44.2,,,,9.229,0.002,0.003,385,,0.3594498933,83.80258333,-5.395555556,111,5,35,12.62,-,5,23,44,3.706,,0.01,0.721,0.033,1.67,0.135,,,,,,,1.783,0.223,5.994,0.111,5081.594426,3782.31,29.43,30.25,27.46,0.42,0.27,40.37,0.53,0.78,0.1565179376,0.530,0.462,2M05351259-0523440,83.8024826,-5.395571232,26.9571,0.63438,4381.87,20.7234,83.80245833,-5.3956,25.2,1.3,0535125-052344

