[HC2000],sepHC_Kim,ra_1,dec_1,ID_Kim,ra_2,dec_2,mualpha,mualpha_err,mudelta,mudelta_err,Nepochs,dT,mag139,flag,RAJ2000_1,DECJ2000,RAJ2000_2,DEJ2000,l_Kmag,Kmag,l_Hmag,Hmag,e_Kmag,e_Hmag,OptID,AltID,sepHC_daRio,ra,dec,ID_daRio,RAh,RAm,RAs,DE-,DEd,DEm,DEs,logT,Temp(daRio),e_logT,logL,e_logL,AV,e_AV,f_BMass,BMass,e_BMass,l_logBA,logBA,e_logBA,DMass,e_DMass,logDA,e_logDA,Temp_daRio,Temp_us,eTemp_us,eTemp_us_STD,RV_us,RVe_us,RVe_us_STD,vsini_us,vsinie_us,vsinie_us_STD,sepHC_APOGEE,veiling_O32,veiling_O33,2MASS,ra_apogee,dec_apogee,RV_apogee,RVe_apogee,Temp_apogee,eTemp_apogee,raT,decT,RV_tobin,RVe_tobin,ID
12,0.06422111456,83.82312758,-5.42856568,618,83.82312758,-5.42856568,-1,0.15,-0.39,0.17,2,14.6,11.9,,83.82313191,-5.428564001,05 35 17.55,-05 25 42.9,,10.177,,11.213,0.001,0.004,557,,0.1493272339,83.82316667,-5.428583333,191,5,35,17.56,-,5,25,42.9,3.597,3953.666201,0.01,-0.357,0.051,1.199,0.234,,0.99,0.07,,6.895,0.035,0.538,0.036,6.257,0.022,3953.666201,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

13,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 19.40,-05 25 42.4,,9.854,,12.586,0.001,0.004,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

14,0.1127347397,83.82379427,-5.42799657,430,83.82379427,-5.42799657,-0.05,0.2,-0.41,0.47,3,16.3,16.09,,83.82379449,-5.427994808,05 35 17.71,-05 25 40.9,,14.551,,15.33,0.019,0.02,9191,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

15,0.09754401828,83.84004165,-5.42797154,433,83.84004165,-5.42797154,0.58,0.14,1.99,0.4,4,19.3,16.76,,83.84003927,-5.427979671,05 35 21.61,-05 25 40.6,,15.36,,16.168,0.026,0.026,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

16,0.1526352258,83.85896621,-5.42763692,351,83.85896621,-5.42763692,-0.39,0.31,-0.83,0.19,4,19.9,13.46,,83.8589679,-5.427633346,05 35 26.16,-05 25 39.4,,12.058,,12.659,0.004,0.011,OW-261-539,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

