#,HC2000,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Kmag,Hmag,mass(daRio12),rv_Tobin,rv_e_Tobin,rv_ours,rv_e_ours
58,296,83.81695833333332,-5.390083333333334,05 35 16.07,-05 23 24.3,12.818,14.713,,,,,
59,159,83.81708333333333,-5.403194444444445,05 35 16.10,-05 24 11.5,11.375,11.731,,,,,
60,354,83.81712499999999,-5.385222222222223,05 35 16.11,-05 23 06.8,6.43,6.55,,,,1.0,1.0
61,435,83.81749999999998,-5.377083333333333,05 35 16.20,-05 22 37.5,11.046,11.646,,,,,
62,322,83.81787499999999,-5.387944444444445,05 35 16.29,-05 23 16.6,9.435,9.982,,,,25.47,0.56
63,522,83.81787499999999,-5.369555555555555,05 35 16.29,-05 22 10.4,10.43,11.716,0.442,,,,
64,479,83.81795833333331,-5.373333333333333,05 35 16.31,-05 22 24.0,12.004,13.282,,,,,
65,412,83.81808333333332,-5.380305555555555,05 35 16.34,-05 22 49.1,10.473,10.964,,,,,
66,171,83.81824999999999,-5.400944444444445,05 35 16.38,-05 24 03.4,8.61,9.159,,,,,
67,442,83.81875,-5.376444444444444,05 35 16.50,-05 22 35.2,10.638,11.182,,,,1.0,1.0
68,165,83.81908333333332,-5.401694444444445,05 35 16.58,-05 24 06.1,10.646,11.042,,,,,
69,457,83.81974999999998,-5.37536111111111,05 35 16.74,-05 22 31.3,11.528,12.08,0.284,,,,
70,170,83.81987499999998,-5.401194444444445,05 35 16.77,-05 24 04.3,8.5,9.311,1.4,23.7,1.0,,
71,484,83.82041666666666,-5.372916666666666,05 35 16.90,-05 22 22.5,9.515,9.884,1.033,,,,
72,375,83.82074999999999,-5.383611111111112,05 35 16.98,-05 23 01.0,9.342,9.756,1.023,,,1.0,1.0
73,252,83.82074999999999,-5.393638888888889,05 35 16.98,-05 23 37.1,9.314,10.238,0.604,,,,
74,450,83.82087499999999,-5.375861111111111,05 35 17.01,-05 22 33.1,9.674,9.994,1.325,,,,
75,244,83.82108333333332,-5.394388888888889,05 35 17.06,-05 23 39.8,10.151,10.711,,,,28.65,0.46
76,259,83.821125,-5.392777777777778,05 35 17.07,-05 23 34.0,7.811,8.438,1.753,,,30.13,0.48
77,410,83.82133333333331,-5.380583333333333,05 35 17.12,-05 22 50.1,11.181,11.2,0.399,,,1.0,1.0
