RAJ2000,DEJ2000,M,_2MASS,HRV,e_HRV,o_HRV,Vmag,V-I,mult,_2M,RAJ2000,DEJ2000
83.42329583,-4.93330556,b'M',b'0533415-045559',27.3,0.7,1,18.16,3.21,1,b'2M',b'05 33 41.591',b'-04 55 59.90\r'
83.42322917,-5.15951944,b'M',b'0533415-050934',-11.7,0.8,2,17.01,2.24,1,b'2M',b'05 33 41.575',b'-05 09 34.27\r'
83.42364583,-5.40118333,b'M',b'0533416-052404',22.6,0.1,3,16.23,2.27,1,b'2M',b'05 33 41.675',b'-05 24 04.26\r'
83.42393333,-5.17629444,b'M',b'0533417-051034',0.0,0.0,0,17.22,2.27,1,b'2M',b'05 33 41.744',b'-05 10 34.66\r'
83.42450833,-5.13808056,b'M',b'0533418-050817',0.0,0.0,0,17.55,2.41,1,b'2M',b'05 33 41.882',b'-05 08 17.09\r'
83.42475,-5.1041,b'M',b'0533419-050614',0.0,0.0,0,20.45,3.64,1,b'2M',b'05 33 41.940',b'-05 06 14.76\r'
83.4299625,-4.78730833,b'M',b'0533431-044714',26.3,1.4,3,0.0,0.0,1,b'2M',b'05 33 43.191',b'-04 47 14.31\r'
83.4302125,-6.08986389,b'M',b'0533432-060523',18.5,0.5,1,17.1,2.52,1,b'2M',b'05 33 43.251',b'-06 05 23.51\r'
83.43154167,-5.54048889,b'M',b'0533435-053225',53.1,1.9,3,16.58,2.33,1,b'2M',b'05 33 43.570',b'-05 32 25.76\r'
83.43543333,-4.99188889,b'M',b'0533445-045930',12.8,0.6,3,16.16,1.97,1,b'2M',b'05 33 44.504',b'-04 59 30.80\r'
83.43854167,-5.5138,b'M',b'0533452-053049',26.9,0.3,2,13.67,1.9,1,b'2M',b'05 33 45.250',b'-05 30 49.68\r'
83.43945833,-5.609,b'B',b'0533454-053632',18.0,4.8,2,18.04,3.7,2,b'2M',b'05 33 45.470',b'-05 36 32.40\r'
83.440625,-4.69015278,b'M',b'0533457-044124',18.9,0.8,3,0.0,0.0,1,b'2M',b'05 33 45.750',b'-04 41 24.55\r'
83.4438,-6.25464167,b'M',b'0533465-061516',19.2,0.3,1,14.5,1.51,1,b'2M',b'05 33 46.512',b'-06 15 16.71\r'
83.44454167,-5.3904,b'M',b'0533466-052325',0.0,0.0,0,0.0,0.0,1,b'2M',b'05 33 46.690',b'-05 23 25.44\r'
83.44855,-5.43016111,b'M',b'0533476-052548',29.0,0.1,2,17.23,3.07,1,b'2M',b'05 33 47.652',b'-05 25 48.58\r'
83.448775,-4.869025,b'M',b'0533477-045208',29.7,0.2,3,0.0,0.0,1,b'2M',b'05 33 47.706',b'-04 52 08.49\r'
83.449175,-4.917675,b'B',b'0533478-045503',25.1,2.5,3,0.0,0.0,2,b'2M',b'05 33 47.802',b'-04 55 03.63\r'
83.44995833,-5.4607,b'M',b'0533479-052738',0.0,0.0,0,0.0,0.0,1,b'2M',b'05 33 47.990',b'-05 27 38.52\r'
83.4507625,-4.65761667,b'M',b'0533481-043927',20.5,3.0,3,0.0,0.0,1,b'2M',b'05 33 48.183',b'-04 39 27.42\r'
83.45083333,-5.224,b'M',b'0533482-051326',24.7,0.8,2,16.74,2.26,1,b'2M',b'05 33 48.200',b'-05 13 26.40\r'
83.4509625,-5.57978611,b'M',b'0533482-053447',23.9,3.3,3,17.74,2.78,1,b'2M',b'05 33 48.231',b'-05 34 47.23\r'
83.4514125,-5.3776,b'M',b'0533483-052239',25.7,0.3,3,16.39,2.33,1,b'2M',b'05 33 48.339',b'-05 22 39.36\r'
83.45401667,-5.29810833,b'M',b'0533489-051753',25.6,0.9,3,15.71,2.3,1,b'2M',b'05 33 48.964',b'-05 17 53.19\r'
83.454925,-5.38399444,b'M',b'0533491-052302',28.9,2.8,1,17.8,3.12,1,b'2M',b'05 33 49.182',b'-05 23 02.38\r'
83.45641667,-5.6057,b'B',b'0533495-053620',24.7,5.8,3,16.2,2.08,2,b'2M',b'05 33 49.540',b'-05 36 20.52\r'
83.45742917,-4.55821111,b'M',b'0533497-043329',47.7,0.9,3,0.0,0.0,1,b'2M',b'05 33 49.783',b'-04 33 29.56\r'
83.45955833,-6.36361111,b'M',b'0533502-062149',24.8,0.5,1,0.0,0.0,1,b'2M',b'05 33 50.294',b'-06 21 49.00\r'
83.461425,-5.01095833,b'M',b'0533507-050039',26.0,3.2,4,17.48,2.71,1,b'2M',b'05 33 50.742',b'-05 00 39.45\r'
83.46395417,-4.80616667,b'M',b'0533513-044822',30.7,0.4,3,0.0,0.0,1,b'2M',b'05 33 51.349',b'-04 48 22.20\r'
83.46375,-5.3879,b'M',b'0533513-052316',0.0,0.0,0,0.0,0.0,1,b'2M',b'05 33 51.300',b'-05 23 16.44\r'
83.46425833,-4.61537778,b'M',b'0533514-043655',0.0,0.0,0,0.0,0.0,1,b'2M',b'05 33 51.422',b'-04 36 55.36\r'
83.46671667,-5.11549444,b'M',b'0533520-050655',-9.1,0.5,4,17.09,2.82,1,b'2M',b'05 33 52.012',b'-05 06 55.78\r'
83.46712083,-5.50791111,b'M',b'0533521-053028',22.5,0.5,1,16.52,2.67,1,b'2M',b'05 33 52.109',b'-05 30 28.48\r'
83.46825,-5.6973,b'M',b'0533523-054150',26.3,0.2,2,14.33,1.57,1,b'2M',b'05 33 52.380',b'-05 41 50.28\r'
83.46842917,-4.73359444,b'M',b'0533524-044400',-5.1,0.3,3,0.0,0.0,1,b'2M',b'05 33 52.423',b'-04 44 00.94\r'
83.47119583,-5.58758056,b'M',b'0533530-053515',0.0,0.0,0,17.44,3.17,1,b'2M',b'05 33 53.087',b'-05 35 15.29\r'
83.47559167,-5.06115556,b'M',b'0533541-050340',23.9,0.5,4,17.5,3.02,1,b'2M',b'05 33 54.142',b'-05 03 40.16\r'
83.4773875,-5.23765,b'B',b'0533545-051415',49.1,13.9,2,16.93,2.81,2,b'2M',b'05 33 54.573',b'-05 14 15.54\r'
83.47708333,-5.5334,b'M',b'0533545-053200',0.0,0.0,0,0.0,0.0,1,b'2M',b'05 33 54.500',b'-05 32 00.24\r'
83.4774,-6.03574444,b'M',b'0533545-060208',27.2,0.4,1,14.92,1.65,1,b'2M',b'05 33 54.576',b'-06 02 08.68\r'
83.4825,-4.797,b'M',b'0533558-044749',26.4,0.9,2,0.0,0.0,1,b'2M',b'05 33 55.800',b'-04 47 49.20\r'
83.485575,-5.11324167,b'M',b'0533565-050647',31.0,1.3,4,15.21,2.19,1,b'2M',b'05 33 56.538',b'-05 06 47.67\r'
83.486375,-5.35943056,b'M',b'0533567-052133',24.8,0.1,2,16.79,2.76,1,b'2M',b'05 33 56.730',b'-05 21 33.95\r'
83.48757083,-5.70284167,b'M',b'0533570-054210',112.7,0.5,2,17.6,3.21,1,b'2M',b'05 33 57.017',b'-05 42 10.23\r'
83.4888625,-4.98770833,b'M',b'0533573-045915',24.0,1.3,4,17.91,3.05,1,b'2M',b'05 33 57.327',b'-04 59 15.75\r'
83.49038333,-5.66836111,b'M',b'0533576-054006',31.0,0.7,1,16.36,2.64,1,b'2M',b'05 33 57.692',b'-05 40 06.10\r'
83.49130417,-5.60749722,b'M',b'0533579-053626',28.9,2.1,2,17.14,2.53,1,b'2M',b'05 33 57.913',b'-05 36 26.99\r'
83.49125,-6.09011389,b'M',b'0533579-060524',38.6,0.8,1,0.0,0.0,1,b'2M',b'05 33 57.900',b'-06 05 24.41\r'
83.49675,-5.7732,b'M',b'0533592-054623',0.0,0.0,0,0.0,0.0,1,b'2M',b'05 33 59.220',b'-05 46 23.52\r'
83.49886667,-5.11109167,b'M',b'0533597-050639',0.0,0.0,0,19.62,4.22,1,b'2M',b'05 33 59.728',b'-05 06 39.93\r'
83.5017375,-4.604175,b'B',b'0534004-043615',32.4,8.4,3,0.0,0.0,2,b'2M',b'05 34 00.417',b'-04 36 15.03\r'
83.5077625,-5.99476667,b'M',b'0534018-055941',70.3,0.4,1,17.25,2.35,1,b'2M',b'05 34 01.863',b'-05 59 41.16\r'
83.50845833,-4.7482,b'M',b'0534020-044453',24.1,0.9,2,0.0,0.0,1,b'2M',b'05 34 02.030',b'-04 44 53.52\r'
83.50920833,-5.6054,b'M',b'0534022-053619',27.1,1.4,3,15.31,2.35,1,b'2M',b'05 34 02.210',b'-05 36 19.44\r'
83.5125,-5.6159,b'M',b'0534030-053657',26.1,1.8,3,13.55,1.85,1,b'2M',b'05 34 03.000',b'-05 36 57.24\r'
83.515425,-5.37189444,b'M',b'0534037-052218',21.1,1.5,3,16.6,2.64,1,b'2M',b'05 34 03.702',b'-05 22 18.82\r'
83.51599583,-4.60172778,b'M',b'0534038-043606',30.4,0.9,3,16.4,2.3,1,b'2M',b'05 34 03.839',b'-04 36 06.22\r'
83.51675417,-6.22490556,b'M',b'0534040-061329',4.2,0.6,1,15.66,1.93,1,b'2M',b'05 34 04.021',b'-06 13 29.66\r'
