HC2000,m_HC2000,theta_orionis,APOGEE,RAJ2000,DEJ2000,_RAJ2000,_DEJ2000,obs_date,itime,sci_frames,tel_frames,teff,e_teff,teff_nirspao,e_teff_nirspao,vsini_nirspao,e_vsini_nirspao,rv_nirspao,rv_helio,e_rv_nirspao,airmass,e_airmass,pwv,e_pwv,veiling,e_veiling,veiling_param_O32,veiling_param_O33_nirspao,veiling_param_O35,lsf,e_lsf,noise,e_noise,model_dip_O32,model_std_O32,model_dip_O33,model_std_O33,model_dip_O35,model_std_O35,wave_offset_O32,e_wave_offset_O32,wave_offset_O33,e_wave_offset_O33,wave_offset_O35,e_wave_offset_O35,snr_O32,snr_O33,snr_O35,Kmag,e_Kmag,Hmag,e_Hmag,mass_literature,e_mass_literature,teff_chris,e_teff_chris,rv_chris,e_rv_chris,vsini_chris,e_vsini_chris,veiling_param_O33_chris,rv_apogee,e_rv_apogee,teff_apogee,e_teff_apogee,vsini_apogee,e_vsini_apogee,veiling_param_apogee,Hmag_apogee,e_Hmag_apogee,2MASS,Gaia DR2,teff_kounkel,e_teff_kounkel,logg_kounkel,e_logg_kounkel,rv_kounkel,e_rv_kounkel,ID_kim,pmRA_kim,e_pmRA_kim,pmDE_kim,e_pmDE_kim,Gaia DR3,plx,e_plx,plx_over_e,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,Gmag,e_Gmag,bp_rp,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_excess_noise,ruwe,ID_hillenbrand,mass_Hillenbrand,rv_tobin,e_rv_tobin,mass_BHAC15,e_mass_BHAC15,logL_BHAC15,e_logL_BHAC15,logg_BHAC15,e_logg_BHAC15,Mk_BHAC15,e_Mk_BHAC15,mk_BHAC15,e_mk_BHAC15,mass_MIST,e_mass_MIST,logg_MIST,e_logg_MIST,logL_MIST,e_logL_MIST,mass_Feiden,e_mass_Feiden,logg_Feiden,e_logg_Feiden,logL_Feiden,e_logL_Feiden,mass_Palla,e_mass_Palla,logL_Palla,e_logL_Palla,mass_DAntona,e_mass_DAntona,logL_DAntona,e_logL_DAntona,pmRA,e_pmRA,pmDE,e_pmDE,rv,e_rv,dist,e_dist,vRA,e_vRA,vDE,e_vDE,vt,e_vt,v,e_v,sep_to_trapezium
224,,,,83.794750,-5.395750,05 35 10.74,-05 23 44.7,2020-01-19,90.0,"[37, 38, 39, 40]","[35, 36, 36, 35]",3887.5,32.5,3887.5,32.5,25.06,0.35,41.37,25.83,0.19,1.12,0.01,0.88,0.02,86.39,104.90,0.00,0.00,nan,4.78,0.06,4.30,0.05,11.80,2.89,16.40,3.54,nan,nan,-0.03398,0.00623,0.35321,0.00912,nan,nan,93.01,100.60,nan,nan,nan,nan,nan,nan,nan,3859.0,21.0,25.94,0.15,24.94,0.58,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,3017363994611283840,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,nan,nan,nan,0.58706,0.05268,-0.30552,0.16811,3.82612,0.17207,2.91717,0.41418,10.86692,0.41429,0.60838,0.06291,3.82663,0.17042,-0.29122,0.16031,0.57602,0.06636,3.81028,0.19833,-0.29987,0.17625,0.62361,0.03886,0.64267,0.29346,0.53276,0.07079,-0.42451,0.1353,nan,nan,nan,nan,25.83,0.19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.024210043102193178
135,,,2M05351427-0524246,83.809500,-5.406861,05 35 14.28,-05 24 24.7,2020-01-19,180.0,"[41, 42, 43, 44]","[35, 36, 36, 35]",3651.2,37.6,3651.2,37.6,49.65,1.20,44.18,28.62,0.98,1.17,0.01,0.92,0.02,41316.28,5514.67,0.30,0.26,nan,5.16,0.08,1.07,0.01,0.69,0.16,1.11,0.28,nan,nan,0.03841,0.00760,0.41532,0.01070,nan,nan,20.79,22.92,nan,9.129811,0.002959,9.543000,0.003000,nan,nan,3610.0,300.0,28.56,0.91,49.33,2.26,0.24,27.94,0.8,4285.0,20.0,50.89,0.46,0.41,9.489,0.03,2M05351427-0524246,3017363921584733184,4263.92,15.5833,4.09305,0.0542627,28.5147,0.686322,,nan,nan,nan,nan,3017363921584733312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,437,0.3100000023841858,nan,nan,0.42879,0.04079,-0.50969,0.18799,3.77864,0.18014,3.31363,0.47953,11.26338,0.47963,0.45147,0.04104,3.78080,0.18010,-0.48372,0.18473,0.43648,0.05125,3.75377,0.23443,-0.47280,0.20695,0.42564,0.03238,0.33885,0.18506,0.41082,0.01754,-0.60498,0.06493,nan,nan,nan,nan,28.62,0.98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02067368609024983
440,,,2M05351734-0522357,83.822333,-5.376611,05 35 17.36,-05 22 35.8,2020-01-20,120.0,"[32, 33, 34, 35]","[40, 41, 41, 40]",3717.8,54.4,3717.8,54.4,24.64,1.07,43.37,27.82,0.70,1.03,0.01,0.64,0.02,211628.75,18907.75,1.45,1.26,nan,5.02,0.09,1.19,0.01,0.55,0.14,0.71,0.15,nan,nan,-0.05612,0.00825,0.40410,0.01296,nan,nan,24.04,23.41,nan,8.521000,0.044000,9.552000,0.003000,nan,nan,3715.0,88.0,28.52,0.48,23.57,1.07,1.37,28.46,2.12,4504.0,71.0,32.52,2.03,1.0,9.227,0.046,2M05351734-0522357,3017364132048869376,3949.7,195.306,4.55644,0.4867,17.2055,nan,,nan,nan,nan,nan,3017364132048869248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,548,nan,23.200000762939453,2.5,0.47121,0.05629,-0.45031,0.19934,3.79136,0.18101,3.18637,0.49226,11.13612,0.49236,0.49376,0.05730,3.79509,0.18123,-0.42794,0.19134,0.47147,0.06704,3.77106,0.22720,-0.42524,0.20861,0.48073,0.04903,0.42230,0.23464,0.44612,0.04289,-0.55274,0.16865,nan,nan,nan,nan,27.82,0.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.012165930532030937
450,,,,83.820875,-5.375861,05 35 17.01,-05 22 33.1,2020-01-20,300.0,"[36, 37, 38, 39]","[40, 41, 41, 40]",3667.6,21.0,3667.6,21.0,13.22,0.29,41.47,25.88,0.18,1.01,0.01,0.59,0.02,525.17,629.18,0.00,0.00,nan,5.22,0.09,1.06,0.01,0.83,0.18,1.08,0.22,nan,nan,-0.09564,0.01178,0.24666,0.01215,nan,nan,18.81,20.21,nan,9.674000,0.003000,9.994000,0.003000,nan,nan,3674.0,54.0,26.23,0.24,12.14,0.74,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,3017364127743294080,2.5025,0.0335,74.707695,0.100,0.032,0.877,0.026,13.576812,0.005132,1.1402921676635742,401.0,-3.5079417,0.22278162837028503,0.87701845,536,1.7899999618530273,nan,nan,0.43924,0.03202,-0.49507,0.17240,3.78177,0.17565,3.28229,0.44505,11.23204,0.44515,0.46189,0.03238,3.78432,0.17549,-0.46999,0.16912,0.44471,0.04360,3.75817,0.22342,-0.46132,0.19420,0.43921,0.01949,0.35940,0.17287,0.41952,0.01869,-0.59212,0.06698,0.10,0.03,0.88,0.03,25.88,0.18,399.60,5.35,0.18,0.06,1.62,0.05,1.63,0.05,25.93,0.18,0.012423760540441614
204,,,2M05352181-0523539,83.840875,-5.398306,05 35 21.81,-05 23 53.9,2020-01-20,300.0,"[46, 47, 48, 49]","[40, 41, 41, 40]",3728.4,36.4,3728.4,36.4,47.35,1.10,39.70,23.95,0.65,1.03,0.01,0.53,0.01,46313.31,5578.38,0.31,0.27,nan,5.34,0.08,1.29,0.01,0.57,0.13,0.74,0.15,nan,nan,-0.10915,0.00821,0.29097,0.01195,nan,nan,29.83,30.96,nan,9.372106,0.002984,9.783000,0.003000,nan,nan,3712.0,50.0,24.73,0.55,48.16,2.56,0.28,25.79,1.28,4535.92,8.94,48.97,0.5,0.14,9.708,0.038,2M05352181-0523539,3017361108392949760,4491.02,66.9214,4.55157,0.171888,2.35555,nan,,nan,nan,nan,nan,3017361108392950016,2.5865,0.0243,106.41746,-0.352,0.021,1.402,0.019,12.660670,0.007615,1.2133808135986328,397.0,4.0958652,0.16415366530418396,1.1490941,698,1.899999976158142,23.200000762939453,3.0999999046325684,0.47796,0.04507,-0.44085,0.18282,3.79339,0.17680,3.16611,0.45678,11.11586,0.45689,0.50049,0.04726,3.79735,0.17654,-0.41910,0.17561,0.47754,0.05763,3.77378,0.21850,-0.41738,0.19556,0.48950,0.03467,0.43559,0.21820,0.45174,0.04838,-0.54442,0.15293,-0.35,0.02,1.40,0.02,23.95,0.65,386.62,3.63,-0.65,0.04,2.59,0.04,2.67,0.04,24.10,0.65,0.025269701362254718
214,,,2M05351906-0523495,83.829458,-5.397111,05 35 19.07,-05 23 49.6,2020-01-20,450.0,"[54, 55, 56, 57]","[58, 59, 59, 58]",3761.8,178.3,3761.8,178.3,15.88,2.79,52.83,36.93,1.05,1.10,0.02,0.56,0.02,610675.67,120467.42,4.05,3.53,nan,5.28,0.11,1.00,0.00,0.11,0.06,0.13,0.05,nan,nan,0.02853,0.01073,0.23003,0.01625,nan,nan,16.27,15.46,nan,10.087756,0.001988,11.118000,0.003000,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.52,1.25,4429.27,17.62,53.25,3.39,0.83,11.201,0.03,2M05351906-0523495,3017361108392968192,4221.44,124.572,4.45115,0.340939,5.72921,nan,148,1.86,0.36,-1.37,1.24,3017361108392968064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,607,1.309999942779541,nan,nan,0.49924,0.13999,-0.41107,0.29894,3.79977,0.20790,3.10229,0.68419,11.05204,0.68426,0.52192,0.14322,3.80411,0.20614,-0.39271,0.28932,0.49766,0.14144,3.78213,0.27032,-0.39231,0.28974,0.51712,0.15338,0.47744,0.41392,0.46945,0.09407,-0.51822,0.17917,1.86,0.36,-1.37,1.24,36.93,1.05,nan,nan,3.43,0.66,-2.53,2.29,4.26,1.46,37.17,1.06,0.014863174270895433
215,,,2M05351227-0523479,83.801167,-5.396694,05 35 12.28,-05 23 48.1,2020-01-21,300.0,"[29, 30, 31, 32]","[61, 62, 62, 61]",3674.4,31.5,3674.4,31.5,10.04,0.63,43.95,28.14,0.26,1.07,0.02,0.71,0.03,31570.74,4447.12,0.22,0.19,nan,5.33,0.13,1.00,0.00,0.44,0.10,0.58,0.13,nan,nan,-0.10425,0.01176,0.02944,0.01684,nan,nan,13.39,14.32,nan,9.718676,0.002987,10.027000,0.003000,nan,nan,3641.0,33.0,27.91,0.27,9.03,1.41,0.2,27.37,0.23,4216.0,6.0,12.34,0.31,0.37,9.892,0.043,2M05351227-0523479,3017363990304314368,4210.24,39.554,4.47709,0.146994,27.4183,0.539868,,nan,nan,nan,nan,3017363990304314496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,378,nan,27.899999618530273,0.4000000059604645,0.44357,0.03893,-0.48901,0.18135,3.78307,0.17726,3.26930,0.46228,11.21905,0.46239,0.46620,0.03939,3.78578,0.17770,-0.46429,0.17703,0.44815,0.04967,3.75992,0.22643,-0.45653,0.19951,0.44483,0.02841,0.36792,0.18827,0.42312,0.02565,-0.58678,0.07548,nan,nan,nan,nan,28.14,0.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01871088804177133
240,,,,83.806042,-5.394556,05 35 13.45,-05 23 40.4,2020-01-21,300.0,"[33, 34, 35, 36]","[37, 38, 38, 37]",3667.1,75.1,3667.1,75.1,15.86,1.31,42.61,26.74,0.60,1.07,0.01,0.72,0.01,609534.75,63583.74,4.31,3.75,nan,5.58,0.08,1.54,0.02,0.33,0.08,0.48,0.11,nan,nan,-0.19394,0.00603,-0.37403,0.00955,nan,nan,43.02,42.44,nan,9.469000,0.003000,10.497000,0.003000,nan,nan,3640.0,65.0,27.11,0.44,14.15,1.28,3.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,3017364024664059264,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,409,nan,nan,nan,0.43892,0.06428,-0.49552,0.22039,3.78168,0.18734,3.28325,0.54332,11.23300,0.54341,0.46157,0.06536,3.78421,0.18834,-0.47040,0.21429,0.44446,0.07311,3.75804,0.24797,-0.46167,0.22825,0.43879,0.06363,0.35877,0.23630,0.41925,0.03798,-0.59251,0.15691,nan,nan,nan,nan,26.74,0.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.013428237360969318
504,,,,83.813958,-5.371000,05 35 15.35,-05 22 15.6,2020-01-21,120.0,"[43, 44, 45, 46]","[51, 52, 52, 51]",3497.0,90.1,3497.0,90.1,32.00,2.39,45.88,29.86,1.33,1.01,0.01,0.62,0.02,505865.56,68598.96,4.04,3.50,nan,5.19,0.08,4.43,0.05,1.44,0.38,2.08,0.47,nan,nan,0.00089,0.00853,-0.27523,0.01172,nan,nan,97.16,96.95,nan,nan,nan,9.208000,0.003000,nan,nan,3969.0,295.0,27.48,0.78,30.65,1.86,3.79,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,64,-0.29,0.15,-0.32,0.02,3017364127743286400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,470,nan,22.799999237060547,3.5,0.33876,0.05693,-0.65410,0.25032,3.74551,0.20609,3.63270,0.63296,11.58244,0.63303,0.35791,0.06201,3.74556,0.20321,-0.62424,0.25073,0.35687,0.06902,3.69938,0.31540,-0.58085,0.27803,0.30881,0.06884,0.21337,0.18503,nan,nan,nan,nan,-0.29,0.15,-0.32,0.02,29.86,1.33,nan,nan,-0.53,0.28,-0.59,0.04,0.80,0.19,29.87,1.33,0.017305705662545207
703,,,,83.807500,-5.368639,05 35 13.80,-05 22 07.1,2020-01-21,300.0,"[47, 48, 49, 50]","[51, 52, 52, 51]",3536.3,30.5,3536.3,30.5,11.02,0.71,48.81,32.75,0.31,1.01,0.01,0.62,0.02,187799.56,11871.53,1.46,1.26,nan,5.42,0.08,3.71,0.04,1.76,0.42,2.42,0.50,nan,nan,0.08447,0.00864,-0.21474,0.01201,nan,nan,79.74,81.30,nan,9.325000,0.004000,9.856000,0.003000,nan,nan,3584.0,27.0,33.39,0.06,9.14,0.41,1.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,137,-1.51,0.90,-1.03,0.52,3017364338208357120,2.4839,0.0388,63.987816,-1.462,0.032,-0.432,0.026,13.654493,0.007287,1.3380451202392578,412.0,-0.108950034,0.25015050172805786,0.9953592,423,0.20000000298023224,nan,nan,0.36084,0.02685,-0.61657,0.19243,3.75434,0.18739,3.54880,0.50230,11.49855,0.50240,0.38121,0.02782,3.75437,0.18445,-0.58624,0.19317,0.37778,0.04138,3.71604,0.26953,-0.55333,0.23167,0.33790,0.02385,0.24100,0.13696,nan,nan,nan,nan,-1.51,0.90,-1.03,0.52,32.75,0.31,402.59,6.29,-2.78,1.66,-1.90,0.96,3.37,1.47,32.92,0.34,0.021787558421963924
431,,,,83.812167,-5.377528,05 35 14.92,-05 22 39.1,2020-01-21,120.0,"[53, 54, 55, 56]","[37, 38, 38, 37]",3623.1,27.0,3623.1,27.0,19.86,0.58,49.15,32.98,0.28,1.03,0.01,0.68,0.01,102954.60,6251.91,0.75,0.65,nan,4.92,0.05,1.68,0.02,1.78,0.41,2.38,0.48,nan,nan,-0.22234,0.00617,-0.29983,0.00911,nan,nan,42.16,43.20,nan,nan,nan,9.273000,0.004000,nan,nan,3603.0,22.0,33.49,0.31,18.80,0.97,0.65,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,700,1.68,0.60,0.05,0.94,3017364127743283584,2.3346,0.0534,43.73503,0.322,0.039,-0.470,0.033,13.082761,0.004953,1.2425165176391602,390.0,11.720039,0.310236394405365,1.450466,454,0.8100000023841858,nan,nan,0.41089,0.03205,-0.53475,0.18008,3.77327,0.18009,3.36732,0.46779,11.31707,0.46789,0.43413,0.03208,3.77437,0.17872,-0.50837,0.17906,0.42257,0.04453,3.74582,0.23653,-0.49232,0.20586,0.40240,0.02230,0.30363,0.16000,nan,nan,nan,nan,1.68,0.60,0.05,0.94,32.98,0.28,428.34,9.80,3.10,1.11,0.09,1.73,3.10,1.11,33.13,0.30,0.011757704501977717
229,,,,83.839042,-5.395944,05 35 21.37,-05 23 45.4,2020-01-21,450.0,"[58, 59, 60]","[61, 62, 62]",3637.6,23.1,3637.6,23.1,13.36,0.48,44.29,28.25,0.24,1.02,0.01,0.53,0.01,23663.26,3256.67,0.17,0.14,nan,5.07,0.10,nan,0.00,0.54,0.12,0.69,0.14,nan,nan,-0.04925,0.01001,0.15239,0.01218,nan,nan,19.28,20.00,nan,10.278000,0.001732,10.904000,0.002309,nan,nan,3613.0,45.610671265980436,28.30,0.12,12.19,0.70,0.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,536,0.12,0.08,0.67,0.16,3017361104086337536,2.6854,0.0356,43.58452,0.433,0.029,1.663,0.026,14.645139,0.003903,0.9049921035766602,375.0,3.6312573,0.37687602639198303,1.1356609,681,0.4399999976158142,27.89999771118164,0.9814954598744711,0.42013,0.03115,-0.52182,0.17587,3.77604,0.17812,3.33961,0.45687,11.28936,0.45698,0.44306,0.03100,3.77771,0.17720,-0.49560,0.17404,0.42975,0.04328,3.74992,0.23114,-0.48224,0.20064,0.41440,0.01992,0.32181,0.16193,0.40362,0.01143,-0.61565,0.06021,0.12,0.08,0.67,0.16,28.25,0.24,372.38,4.94,0.22,0.15,1.24,0.30,1.26,0.29,28.28,0.24,0.02267666252884506
484,,,,83.820417,-5.372917,05 35 16.90,-05 22 22.5,2021-02-01,300.0,"[27, 28, 29, 30]","[37, 38, 38, 37]",3979.0,23.3,3979.0,23.3,25.15,0.19,50.85,30.66,0.24,1.12,0.01,0.67,0.01,110.59,151.77,0.00,0.00,nan,5.44,0.04,1.40,0.02,1.22,0.28,1.63,0.34,nan,nan,0.24126,0.00691,0.60952,0.00926,nan,nan,33.41,37.15,nan,9.515000,0.003000,9.884000,0.004000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,3017364162103031424,2.4312,0.0413,58.807133,-0.526,0.035,-0.678,0.030,13.842974,0.004463,1.1997661590576172,412.0,-2.4599018,0.2883698642253876,0.91413164,529,0.23000000417232513,nan,nan,0.65748,0.05148,-0.22677,0.15905,3.83575,0.16515,2.77504,0.39070,10.72479,0.39082,0.67251,0.06335,3.84081,0.16761,-0.22159,0.15031,0.63284,0.06378,3.82764,0.18918,-0.23597,0.16532,0.70833,0.02666,0.78500,0.31879,0.57681,0.07362,-0.35932,0.1248,-0.53,0.04,-0.68,0.03,30.66,0.24,411.32,6.99,-0.97,0.06,-1.25,0.06,1.58,0.06,30.70,0.24,0.015205518948807503
476,,,,83.813958,-5.373667,05 35 15.35,-05 22 25.2,2021-02-01,300.0,"[31, 32, 33, 34, 35, 36]","[37, 38, 38, 37, 37, 38]",3447.0,29.4,3447.0,29.4,9.92,1.09,51.67,31.38,0.38,1.31,0.02,0.61,0.02,158553.56,10871.69,1.31,1.14,nan,4.82,0.09,1.01,0.01,0.22,0.06,0.36,0.07,nan,nan,-0.04237,0.00901,0.20115,0.01195,nan,nan,15.90,17.14,nan,10.053000,0.013000,11.038000,0.008000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,246,0.87,0.43,-1.51,0.47,3017364127743286272,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9096,nan,nan,nan,0.31067,0.02291,-0.70185,0.20192,3.73427,0.19393,3.73944,0.52928,11.68919,0.52937,0.32875,0.02356,3.73466,0.19172,-0.67526,0.20086,0.32917,0.03379,3.67415,0.29489,-0.61584,0.27080,0.27180,0.02382,0.17821,0.11528,nan,nan,nan,nan,0.87,0.43,-1.51,0.47,31.38,0.38,nan,nan,1.60,0.79,-2.78,0.87,3.21,0.85,31.54,0.39,0.014714446700262705
546,,,2M05351498-0521598,83.812500,-5.366667,05 35 15.00,-05 22 00.0,2021-10-20,300.0,"[7, 8, 9, 10]","[11, 12, 12, 11]",3759.9,23.6,3759.9,23.6,15.12,0.31,14.71,24.52,0.17,1.08,0.01,0.89,0.04,40557.48,3011.94,0.27,0.23,nan,5.42,0.07,2.04,0.02,1.61,0.40,2.25,0.49,nan,nan,0.27471,0.00506,0.28510,0.00785,nan,nan,39.32,46.13,nan,9.841865,0.002092,10.027000,0.002121,nan,nan,3793.0,39.59797974644666,21.51,0.13,15.32,0.83,0.27,29.14,0.26870057685088805,4417.59,6.1164736572636365,21.56,0.042426406871192854,0.25,10.068,0.02050609665440988,2M05351498-0521598,3017364372568087552,4460.6,32.11212309673716,4.71711,0.09374750994293128,28.7371,0.5666972947531159,567,2.25,0.06,0.96,0.08,3017364372568087808,2.4172,0.0240,71.132454,2.862,0.021,1.001,0.017,13.535570,0.002774,1.281233787536621,408.0,-2.300962,0.22181375324726105,0.9191526,457,0.8199999928474426,nan,nan,0.49801,0.03874,-0.41278,0.17001,3.79940,0.17358,3.10596,0.42630,11.05571,0.42641,0.52069,0.04241,3.80372,0.17285,-0.39423,0.16312,0.49650,0.05331,3.78165,0.20955,-0.39375,0.18264,0.51553,0.02547,0.47503,0.21726,0.46843,0.05258,-0.51972,0.13869,2.25,0.06,0.96,0.08,24.52,0.17,413.70,4.11,4.15,0.12,1.77,0.15,4.51,0.12,24.93,0.17,0.02185609772570297
217,,,2M05352104-0523490,83.837708,-5.396944,05 35 21.05,-05 23 49.0,2021-10-20,120.0,"[13, 14, 15, 16]","[25, 26, 26, 25]",3642.8,15.5,3642.8,15.5,46.99,0.42,37.39,29.44,0.32,1.07,0.01,nan,0.02,36417.98,2103.37,0.30,0.26,nan,5.36,0.02,1.87,0.02,4.05,1.22,6.09,1.38,nan,nan,0.13346,0.00250,0.07313,0.00403,nan,nan,67.17,74.90,nan,8.486000,0.015011,nan,nan,nan,nan,3613.9999999999995,19.05255888325765,29.73,0.20,47.35,0.51,0.23,31.249999999999996,0.13279056191361394,4503.0,5.773502691896258,54.79999999999999,0.178978583448784,0.12,8.761999999999999,0.024248711305964284,2M05352104-0523490,3017361108393636864,4508.729999999999,15.451971664483468,4.224230000000001,0.04493205375957494,31.188600000000008,0.4999172057864516,,nan,nan,nan,nan,3017361108393637120,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,669,2.130000114440918,nan,nan,0.42344,0.02725,-0.51719,0.16887,3.77703,0.17610,3.32968,0.44173,11.27943,0.44183,0.44626,0.02684,3.77891,0.17518,-0.49102,0.16699,0.43232,0.03977,3.75139,0.22626,-0.47863,0.19522,0.41869,0.01397,0.32832,0.15533,0.40637,0.01074,-0.61157,0.06406,nan,nan,nan,nan,29.44,0.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.021835727276171533
277,,,,83.835250,-5.391583,05 35 20.46,-05 23 29.7,2021-10-20,600.0,"[17, 18]","[25, 26]",3475.4,15.3,3475.4,15.3,12.94,0.42,15.72,25.57,0.21,1.01,0.01,0.92,0.04,68917.56,3455.40,0.90,0.78,nan,5.20,0.08,nan,0.01,1.87,0.50,2.66,0.59,nan,nan,0.38107,0.00703,-0.01168,0.00917,nan,nan,67.09,74.91,nan,9.125000,0.002121,9.848000,0.002828,nan,nan,3443.9999999999995,36.062445840513924,25.88,0.25,12.90,1.87,0.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,530,-0.81,0.08,0.14,0.04,3017361104086334080,2.4387,0.0508,33.92814,-1.046,0.042,0.943,0.040,14.633403,0.004487,1.2354345321655273,372.0,9.884604,0.5013017654418945,1.3857468,648,nan,nan,nan,0.32661,0.01657,-0.67476,0.18601,3.74065,0.18764,3.67887,0.49218,11.62862,0.49228,0.34523,0.01607,3.74090,0.18498,-0.64604,0.18642,0.34499,0.02925,3.68905,0.28351,-0.59604,0.25158,0.29280,0.01302,0.19816,0.10833,nan,nan,nan,nan,-0.81,0.08,0.14,0.04,25.57,0.21,410.05,8.54,-1.49,0.15,0.26,0.07,1.52,0.15,25.61,0.21,0.017809954029136765
435,,,,83.817500,-5.377083,05 35 16.20,-05 22 37.5,2021-10-20,600.0,"[22, 23, 24]","[25, 26, 26]",3242.6,16.4,3242.6,16.4,29.86,0.35,6.47,27.83,0.29,1.08,0.01,5.42,0.08,135.34,159.57,0.00,0.00,nan,5.52,0.08,1.35,0.02,0.38,0.14,0.67,0.16,nan,nan,0.50158,0.00681,-0.07141,0.01088,nan,nan,24.89,30.60,nan,11.046000,0.006000,11.646000,0.004000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,40,-0.64,0.17,0.23,0.07,3017364132052912768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9132,0.10999999940395355,nan,nan,0.21796,0.01509,-0.91688,0.21728,3.68078,0.22252,4.23940,0.56865,12.18915,0.56874,0.21129,0.01110,3.69320,0.21465,-0.93404,0.22587,0.21032,0.01417,3.52606,0.25126,-0.76879,0.27407,0.16071,0.00726,0.08789,0.05912,nan,nan,nan,nan,-0.64,0.17,0.23,0.07,27.83,0.29,nan,nan,-1.18,0.31,0.42,0.13,1.25,0.30,27.86,0.29,0.010808755003679813
457,,,2M05351671-0522309,83.819750,-5.375361,05 35 16.74,-05 22 31.3,2022-01-18,750.0,"[24, 25, 26, 27]","[28, 29, 29, 28]",3373.1,15.2,3373.1,15.2,8.23,0.66,42.73,27.94,0.14,1.31,0.01,1.07,0.03,30449.74,2642.72,0.27,0.23,nan,5.23,0.09,1.31,0.01,0.32,0.09,0.47,0.10,nan,nan,0.10851,0.00764,0.26483,0.00979,nan,nan,23.02,25.76,nan,11.524378,0.007989,12.080000,0.003000,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.02,0.28,3659.32,26.94,11.82,1.24,1.99,11.744,0.137,2M05351671-0522309,3017364132049324032,3565.55,377.663,5.08885,0.999775,6.33188,nan,175,0.65,0.11,1.33,0.18,3017364132052912640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9151,0.17000000178813934,nan,nan,0.27571,0.01358,-0.77830,0.19891,3.71542,0.20220,3.91604,0.52579,11.86578,0.52587,0.28615,0.01601,3.72055,0.19443,-0.76055,0.19820,0.28647,0.01843,3.62611,0.28620,-0.66582,0.27904,0.21710,0.01383,0.12624,0.08460,nan,nan,nan,nan,0.65,0.11,1.33,0.18,27.94,0.14,nan,nan,1.20,0.20,2.45,0.33,2.73,0.31,28.07,0.14,0.012685141484045358
