HC2000,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,year,month,day,itime,sci_frames,tel_frames,teff,teff_e,vsini,vsini_e,rv,rv_helio,rv_e,airmass,airmass_e,pwv,pwv_e,veiling,veiling_e,veiling_param_O32,veiling_param_O33,veiling_param_O35,lsf,lsf_e,noise,noise_e,model_dip_O32,model_std_O32,model_dip_O33,model_std_O33,model_dip_O35,model_std_O35,wave_offset_O32,wave_offset_O32_e,wave_offset_O33,wave_offset_O33_e,wave_offset_O35,wave_offset_O35_e,snr_O32,snr_O33,snr_O35,Kmag,Kmag_e,Hmag,Hmag_e
244,83.82108333333332,-5.394388888888889,05 35 17.06,-05 23 39.8,15,12,24,600.0,"[62, 63, 64, 65]","[60, 61, 61, 60]",3408.556135364375,16.660940552521424,21.562983213793178,0.34177357857375945,32.56299949958456,28.1255542215288,0.29367604722677854,1.1004652547600398,0.011979890815632555,2.0695341011176174,0.04841304733193752,2507.0065837815,1957.4943083696937,0.02140491346513836,0.018484428281349163,,5.278379763192069,0.08097529809775006,2.1996201219607037,0.03419753066929054,0.6357741951565374,0.20252964256658174,1.3817885970407455,0.2913076783786602,,,0.07861075155613141,0.008453229413362864,0.292344412620488,0.011071001648233492,,,43.70866371237424,68.01061381616037,,10.151,0.005,10.711,0.004
261,83.81408333333331,-5.392611111111112,05 35 15.38,-05 23 33.4,15,12,24,900.0,"[66, 67, 68, 69]","[44, 45, 45, 44]",3366.7348062922683,19.881770719535552,0.5821659351632731,0.6828874918603518,30.895129910109418,26.347255687251987,0.21489325554964367,1.3165056086178868,0.023534926321780003,2.110781130950764,0.09588279920004106,128.96854467682857,126.85885082658596,0.0011399355116152232,0.0009823268051392193,,5.1713631356430465,0.10151598307314069,1.459244999116442,0.025663394870915734,0.2661152990158252,0.0868630659569432,0.5701116284992831,0.12375545837268949,,,0.07414719186157903,0.011302660651932108,0.40748283365175236,0.012756121392647424,,,16.325252278253668,28.95608608244097,,11.137,0.004,11.424,0.007
248,83.81566666666666,-5.394,05 35 15.76,-05 23 38.4,16,12,14,600.0,"[40, 41, 42, 43]","[54, 55, 55, 54]",3384.8214678867485,43.69903109717188,40.4006893989258,1.6647714174478594,27.174425412507137,27.308273128950503,1.1776665157072514,1.0583497599921161,0.01878234070453344,1.4173734135156257,0.06584083600039259,40052.56456157742,7667.255271871207,0.3487163680534648,0.30074155733500374,,5.211543670635687,0.14407270022348273,1.3248538168327268,0.020961957532488196,0.14072287871417866,0.05303071799438451,0.27173432674399023,0.06211288228985624,,,-0.07931922199889722,0.013853848562561832,-0.25530667004827173,0.015752419538028778,,,18.96965240131129,28.185059859740562,,11.168,0.014,12.802,0.028
223,83.81433333333331,-5.395972222222222,05 35 15.44,-05 23 45.5,16,12,14,300.0,"[46, 47, 48, 49]","[44, 45, 45, 44]",3349.658839314635,22.065705823903954,10.32299361289544,0.6373064160499826,27.27682767378066,27.259800721425467,0.2827659272439398,1.012126384467747,0.011377171217861193,1.5739279018369903,0.052606630137499444,39630.59270152581,3562.2477450894185,0.3554534626009016,0.3060275658894947,,4.955903592669438,0.10083859000262718,1.7720016192134063,0.03080403583500768,0.5975721736271808,0.17125995219801446,1.1893239223780525,0.2481678763713708,,,-0.18131842411429017,0.010578250352218349,0.09224575871946038,0.013271914918819253,,,30.39394925402275,46.10224011296273,,9.88,0.003,10.463,0.003
219,83.81316666666665,-5.396305555555556,05 35 15.16,-05 23 46.7,16,12,14,600.0,"[50, 51, 52, 53]","[44, 45, 45, 44]",3500.400183602585,48.8857244261028,20.820776660723475,1.0976526949435765,23.815766377397694,23.72680860524555,0.6395517548126293,1.0656572715723618,0.01811137121657791,1.4839362158060863,0.06522084264895733,63777.87841530801,8185.115761907975,0.5076550956508584,0.4399303513424032,,5.361781408411007,0.1278156825815424,1.2249175391782754,0.01914400827501428,0.14025700159794807,0.04537168662777191,0.29541821503517807,0.06033389687551318,,,-0.12512739849802698,0.016680938515170995,0.1645365722129963,0.016237614067234923,,,16.42001243926611,27.2378229109341,,10.918,0.012,11.49,0.008
324,83.81183333333333,-5.387777777777778,05 35 14.84,-05 23 16.0,16,12,14,1200.0,"[56, 57, 58]","[54, 55, 55]",3403.4866046906373,32.69853942634472,4.925900131250233,1.7634638707750254,30.818170734217645,30.61683900777284,0.41518991137141015,1.3258780783698947,0.03819188819967889,1.4883092377538918,0.12640993638166964,490.5370926682693,674.8313229638354,0.004205291278942999,0.0036299540407984097,,5.3194205711126745,0.2522907753482362,1.2897175148772388,0.02025801362638313,0.1594129021302161,0.04362672866536612,0.27297149101699675,0.05768978027192781,,,-0.06275914945563904,0.024404261809519268,-0.18408758349422774,0.02336543643045863,,,8.506843200864548,15.668213281008146,,11.899,0.012,12.06,0.007
295,83.82320833333331,-5.39025,05 35 17.57,-05 23 24.9,18,2,11,450.0,"[26, 27, 29, 30]","[41, 42, 42, 41]",3541.111935238426,72.51816266463288,23.439287269334898,1.6809916277290586,43.155952070896724,20.64140817418921,0.8802495503419046,1.00965879923335,0.010070195243180313,2.235874781980229,0.08159301667301566,109086.34306744604,19081.25666226732,0.8432219949810682,0.7314660699693603,,5.259448482686222,0.15256528345781462,1.072494475150214,0.01844046540260058,0.1398354779052885,0.044443802029097305,0.23959125048383556,0.05005716195077265,,,-0.07135070394074851,0.015134637128973553,-0.2440289915739459,0.019344373090551356,,,13.106473457223096,20.288848702898868,,10.501,0.01,11.787,0.008
313,83.82279166666665,-5.389194444444445,05 35 17.47,-05 23 21.1,18,2,11,180.0,"[33, 34, 35, 36]","[41, 42, 42, 41]",3569.6869791381523,67.90891700115708,10.801775054153836,0.9193893298832183,48.57858469835448,25.932097386079313,0.43277962349568,1.0105364765819727,0.010085103727164868,2.407165059308044,0.08301531045053356,92087.31280566106,11574.447444355625,0.697554187276423,0.6054262760905433,,5.028022612849549,0.12910353608766112,1.021501229425458,0.014963260744992213,0.31175831993844216,0.10731327513211197,0.6467659486244082,0.13178004394089168,,,-0.03979088754936493,0.012174540330598711,-0.11655122059948435,0.01701078531277434,,,14.030038661158471,21.849737303893896,,9.687,0.007,10.459,0.005
332,83.82424999999999,-5.387666666666667,05 35 17.82,-05 23 15.6,18,2,11,300.0,"[37, 38, 39, 40]","[41, 42, 42, 41]",3989.6110709650984,33.93495272033874,16.397987154804206,0.4025216696132059,48.23293523682384,25.539257212826453,0.26324238591407223,1.0205115360380086,0.013969861231037939,2.578638413460433,0.09808693073640251,291.40935697646694,345.0061770868684,0.0016960098031297299,0.001481768289331845,,5.0721428870717755,0.1256580419323079,1.0804586879942772,0.018277444541252463,0.4201455863864846,0.11942361794404238,0.8594599102072702,0.1733607603211073,,,0.007480578260453216,0.012601427414214264,-0.11145457515661451,0.014905675925675113,,,14.15660856001423,23.915783948720307,,9.87,0.004,10.169,0.004
331,83.82604166666665,-5.387694444444445,05 35 18.25,-05 23 15.7,18,2,11,450.0,"[43, 44, 45, 46]","[41, 42, 42, 41]",3638.7319082933423,135.7421532107055,18.31959413986274,1.139000868659684,54.218427929102695,31.42625967069872,0.6526567349190877,1.0853392776112791,0.02467172082226121,2.343353605258903,0.09991758961425967,100812.87809838956,22179.82253837322,0.7275354683637406,0.6322432072339221,,5.144394220928542,0.14132142530227343,1.003917868516627,0.0041734400666743054,0.166306533644749,0.053381358294216884,0.33057543828480207,0.06687282934853278,,,0.019179945495783803,0.013286660087779555,-0.10115756738592452,0.017645163103755905,,,11.819955141981652,19.283216157758183,,10.563,0.003,11.536,0.006
337,83.82779166666664,-5.387222222222222,05 35 18.67,-05 23 14.0,18,2,11,60.0,"[47, 48, 49, 50]","[51, 52, 52, 51]",4652.070705554816,284.39084781403244,20.237276593133465,10.44228257254494,54.412476635488794,31.564614518607357,5.8313699349539725,1.1589951750933458,0.07225900816512865,2.3818023494484013,0.15304861711413253,1654719.9768373473,521619.2187215617,7.053355528528186,6.087823056063348,5.480654760466741,7.844874124896856,0.4220202907219641,1.4953753648143462,0.035576172446155074,1.0936640978141803,0.54105875347562,0.5256591478308543,0.11662716831874655,0.6372247203289838,0.1504445146976611,0.08432824940780834,0.007630009125891402,-0.17739843586014392,0.011150423291991757,-0.31806369238021526,0.027738840146149413,36.45055103392761,50.59660440768467,63.82710666765796,,,,
375,83.82074999999999,-5.383611111111112,05 35 16.98,-05 23 01.0,18,2,11,180.0,"[53, 54, 55, 56]","[51, 52, 52, 51]",4109.982823069618,123.6104152209441,26.598013048686752,0.8608716587187502,55.782449216725624,32.88869910619769,0.5136275535480124,1.2545967610489313,0.015511196031476882,1.823226480227821,0.056895318302926046,93768.85853088676,9277.489224478522,0.5152461808224196,0.45086547502459545,,5.167883297075121,0.08552730604104664,1.2545793006671775,0.02030100172248006,0.630064133825857,0.20863332899675655,1.2248528429986933,0.24417590003584067,,,0.08337876695672106,0.009041361071688174,-0.17680558878230657,0.012723731261505403,,,22.106523530289614,34.742742816349164,,9.342,0.004,9.756,0.003
388,83.82316666666665,-5.382444444444444,05 35 17.56,-05 22 56.8,18,2,11,120.0,"[57, 58, 59, 60]","[61, 62, 62, 61]",4254.055077372312,145.45290507143363,17.673912353831764,0.9265796817906597,53.256108276619315,30.333608892092045,0.39185435046610806,1.3380754078026214,0.01763529589668089,1.779423781982281,0.05828022034154057,129913.10325809775,12647.102649323715,0.6766037282086135,0.5930348243463395,,5.033749207374566,0.08902056563316219,1.0763637050421317,0.01860939418803198,0.5824084751335197,0.1812374645180141,1.1505563164543897,0.22354329242965554,,,0.062472444436582356,0.009174319653656452,-0.2977967532350634,0.010618137961043939,,,16.832365333403203,26.82494569552677,,9.096,0.004,9.598,0.003
425,83.82479166666666,-5.379305555555555,05 35 17.95,-05 22 45.5,18,2,12,60.0,"[47, 48, 49, 50]","[51, 52, 52, 51]",3525.5575813052164,27.56425339930206,21.484826859622704,0.2962745351509284,47.47125415206933,24.721695935878692,0.3486551818109689,1.0116445796479638,0.009701513226685443,1.0894132825689982,0.03300929360383276,337.44323857612164,411.80838835071927,0.0026376987663901687,0.0022872891685584325,,4.965225395952558,0.08565396931235414,2.2937072545389423,0.03699208094171702,4.369656819821532,1.4366767575152475,9.233258460381112,1.953152414825564,,,-0.08972960100394209,0.00890864180564694,-0.2320095802157785,0.01230277235945311,,,45.873098227607755,65.6062860275973,,,,,
