molecule,isotope,frequency,intensity,einstein_a,air_halfwidth,self_halfwidth,lower_energy,t_exponent,p_shift,upper_global,lower_global,upper_local,lower_local,err1,err2,err3,err4,err5,err6,ref1,ref2,ref3,ref4,ref5,ref6,mixing_flag,upper_weight,lower_weight
5,1,4238.2904,3.202e-25,1.613,0.0589,0.066,2280.4012,0.75,0,              3,              1,,     R  8,4,6,7,6,6,0,2,2,2,2,1,0,,19,17
5,2,4239.0346,6.736e-25,0.572,0.0464,0.048,1192.3199,0.67,0,              2,              0,,     R 25,4,6,7,6,2,0,2,2,2,2,1,0,,106,102
5,4,4239.1661,7.912e-32,1.874,0.0425,0.041,4070.9363,0.67,0,              3,              1,,     R 32,4,6,6,6,2,0,2,2,2,2,1,0,,402,390
5,3,4239.6169,1.255e-26,0.5892,0.0436,0.043,1698.0154,0.67,0,              2,              0,,     R 30,4,6,6,6,2,0,2,2,2,2,1,0,,63,61
5,1,4240.1399,2.549e-21,0.5514,0.065,0.073,57.6704,0.74,-0.00475,              2,              0,,     P  5,4,6,7,6,6,3,2,3,2,2,1,1,,9,11
5,4,4240.5119,4.541e-32,1.889,0.042,0.041,4192.6716,0.67,0,              3,              1,,     R 33,4,6,6,6,2,0,2,2,2,2,1,0,,414,402
5,4,4240.53,1.185e-24,0.5183,0.058,0.064,168.6096,0.75,0,              2,              0,,     R  9,4,6,7,6,6,0,2,2,2,2,1,0,,126,114
5,2,4240.8969,4.432e-25,0.5765,0.0457,0.047,1287.5016,0.67,0,              2,              0,,     R 26,4,6,6,6,2,0,2,2,2,2,1,0,,110,106
5,3,4241.1311,7.535e-27,0.5939,0.043,0.042,1810.8756,0.67,0,              2,              0,,     R 31,4,6,6,6,2,0,2,2,2,2,1,0,,65,63
5,1,4241.3938,3.031e-25,1.635,0.058,0.064,2314.6739,0.75,0,              3,              1,,     R  9,4,6,7,6,6,0,2,2,2,2,1,0,,21,19
5,4,4241.7856,2.56e-32,1.904,0.042,0.041,4318.0431,0.67,0,              3,              1,,     R 34,4,6,6,6,2,0,2,2,2,2,1,0,,426,414
5,3,4242.5761,4.44e-27,0.5984,0.0425,0.041,1927.3318,0.67,0,              2,              0,,     R 32,4,6,6,6,2,0,2,2,2,2,1,0,,67,65
5,2,4242.6902,2.862e-25,0.5812,0.0451,0.046,1386.3121,0.67,0,              2,              0,,     R 27,4,6,6,6,2,0,2,2,2,2,1,0,,114,110
5,4,4242.9871,1.414e-32,1.916,0.042,0.041,4447.046,0.67,0,              3,              1,,     R 35,4,6,6,2,2,0,2,2,2,2,1,0,,438,426
5,4,4243.5292,1.092e-24,0.5239,0.0573,0.063,206.0656,0.75,0,              2,              0,,     R 10,4,6,7,6,6,0,2,2,2,2,1,0,,138,126
5,3,4243.9515,2.569e-27,0.6029,0.042,0.041,2047.3798,0.67,0,              2,              0,,     R 33,4,6,6,6,2,0,2,2,2,2,1,0,,69,67
5,4,4244.1162,7.684e-33,1.932,0.042,0.041,4579.6754,0.67,0,              3,              1,,     R 36,4,6,6,2,2,0,2,2,2,2,1,0,,450,438
5,1,4244.2635,2.252e-21,0.5715,0.0676,0.075,38.4481,0.74,-0.00437,              2,              0,,     P  4,4,6,7,6,6,3,2,3,2,2,1,1,,7,9
5,2,4244.4142,1.813e-25,0.5857,0.0446,0.045,1488.7479,0.67,0,              2,              0,,     R 28,4,6,6,6,2,0,2,2,2,2,1,0,,118,114
5,1,4244.4257,2.788e-25,1.654,0.0573,0.063,2352.7499,0.75,0,              3,              1,,     R 10,4,6,7,6,6,0,2,2,2,2,1,0,,23,21
5,4,4245.1727,4.094e-33,1.946,0.042,0.041,4715.9264,0.67,0,              3,              1,,     R 37,4,6,6,2,2,0,2,2,2,2,1,0,,462,450
