mass_2myr,mass_1myr,mass_3myr,teff_2myr,teff_1myr,teff_3myr,logg_2myr,logg_1myr,logg_3myr,logL_2myr,logL_1myr,logL_3myr
3.3,3.3,3.3,12088.048671937335,5637.056658887661,13445.331054355906,3.9988021,3.4710546,4.3475877,2.2404821,1.4430145,2.0765579
3.35,3.35,3.35,12213.72957434621,5684.882594931188,13580.726402485356,4.087079,3.4376146,4.3487973,2.1767044,1.4976617,2.0992849
3.4,3.4,3.4,12044.986012477431,5739.345904243516,13695.579082230195,4.1394824,3.4031794,4.3480732,2.106567,1.5550943,2.1210725
3.45,3.45,3.45,12051.910559610153,5798.967836818689,13829.583473437542,4.1583779,3.3715397,4.3473877,2.0950102,1.6110276,2.1450131
3.5,3.5,3.5,12312.770935128023,5863.907352498936,13961.339884939018,4.1648249,3.3434271,4.3472711,2.1320116,1.6647348,2.1678508
3.55,3.55,3.55,12742.783367889571,5937.747151657235,14089.81205295062,4.1750858,3.3181975,4.3459658,2.1875451,1.7178631,2.1912288
3.6,3.6,3.6,13345.6674864708,6026.30766192429,14217.878545492813,4.1970218,3.2962128,4.345209,2.2519872,1.7716401,2.2137782
3.65,3.65,3.65,14140.028994695042,6137.566348791623,14345.596129126674,4.233309,3.2788191,4.3447804,2.3221304,1.8268038,2.2357321
3.7,3.7,3.7,14759.11103433758,6292.092520895003,14470.821951142874,4.2795009,3.2707075,4.34394,2.3562872,1.8840203,2.25758
3.75,3.75,3.75,14838.288131345713,6528.197728213092,14595.020186468315,4.3156476,3.2807002,4.3430276,2.3352642,1.9438496,2.279168
3.8,3.8,3.8,14801.072979429871,6835.435663656548,14718.118661327357,4.3337484,3.303616,4.3421165,2.3185534,2.0065777,2.3004217
3.85,3.85,3.85,14915.162866032702,7190.048170580158,14840.064891608234,4.3403225,3.3314467,4.3411839,2.3309957,2.0722867,2.3213656
3.9,3.9,3.9,15032.098054215912,7449.525309633648,14965.722909670596,4.3425816,3.3486714,4.3407348,2.3479067,2.1222531,2.342066
3.95,3.95,3.95,15138.108024224803,7906.906440829558,15085.603888287304,4.3432106,3.3853241,4.3397685,2.3650182,2.1946447,2.3624247
4.0,4.0,4.0,15251.975536047492,8430.066489510002,15204.876605608702,4.3426817,3.4274972,4.3387691,2.3840282,2.2692323,2.3825677
4.05,4.05,4.05,15370.379835742988,9028.637158225252,15323.070509361412,4.3418461,3.4761832,4.3377558,2.4036929,2.3451062,2.402428
4.1,4.1,4.1,15489.325274162777,9712.23539871204,15440.23478663414,4.3409644,3.5324139,4.3367188,2.4232947,2.4209922,2.4220262
4.15,4.15,4.15,15608.504718050213,10489.447170448306,15556.374869285037,4.3402211,3.5970821,4.3356624,2.4426176,2.4953219,2.4413648
4.2,4.2,4.2,15725.407197886147,11364.18774540897,15671.566143142598,4.3393832,3.6707669,4.3345961,2.4616191,2.5659815,2.4604482
4.25,4.25,4.25,15841.33579584601,12325.348277881974,15785.771061065087,4.3385596,3.7530945,4.3335206,2.480342,2.6298367,2.479277
4.3,4.3,4.3,15956.226774493347,13329.350867132682,15899.025284139896,4.3376984,3.8425636,4.332434,2.4988362,2.6814864,2.4978619
4.35,4.35,4.35,16070.156271253412,14256.748881376929,16011.351803396416,4.3368278,3.9347822,4.33134,2.5170874,2.7111345,2.5162068
4.4,4.4,4.4,16183.196221950435,14771.710920369223,16122.790099578737,4.3359646,4.0195342,4.33024,2.5350905,2.6929873,2.5343189
4.45,4.45,4.45,16295.282727815733,14756.035792894854,16233.336828423668,4.3350775,4.0845384,4.3291308,2.5528757,2.6310456,2.552206
4.5,4.5,4.5,16407.17838754852,14578.038740074255,16342.944279405792,4.3343919,4.1246654,4.3280371,2.5703016,2.5746891,2.5698422
4.55,4.55,4.55,16516.598054965092,14537.62962007088,16451.746159975057,4.3332764,4.1420108,4.3268893,2.587763,2.5573202,2.5873155
4.6,4.6,4.6,16627.765842351437,14726.742731902028,16561.577453323913,4.3326221,4.149758,4.3258966,2.6048167,2.5767718,2.6046136
4.65,4.65,4.65,16734.852929077693,15045.114594835297,16667.109934914446,4.3314235,4.157132,4.3246362,2.6218624,2.6112482,2.6216033
4.7,4.7,4.7,16842.48619290809,15497.391340806882,16773.4153003843,4.330472,4.1698993,4.3234896,2.638596,2.6545782,2.6384395
4.75,4.75,4.75,16949.480825582705,16073.290722720352,16879.08110509526,4.3295286,4.1901563,4.3223558,2.6551361,2.702302,2.6550786
4.8,4.8,4.8,17056.3775208753,16793.940106682592,16984.423098864645,4.3287283,4.2194047,4.3212655,2.6714056,2.7537925,2.6715244
4.85,4.85,4.85,17161.695815492956,17420.375015248428,17098.495562365944,4.3277296,4.2542484,4.3209167,2.6875984,2.7870687,2.6880022
4.9,4.9,4.9,17265.6407417326,17713.17037772333,17202.33496407975,4.3266573,4.2855525,4.3197852,2.7036151,2.789174,2.7041057
4.95,4.95,4.95,17369.567311827766,17734.19175245135,17305.290735310336,4.3256926,4.3087758,4.3186391,2.7194138,2.7724203,2.7200272
5.0,5.0,5.0,17480.063259827395,17615.334724180593,17407.291419328427,4.3253028,4.3226276,4.3174662,2.7351846,2.7512513,2.7357742
5.05,5.05,5.05,17583.31676398405,17749.184342496264,17509.316776646992,4.3243645,4.3289059,4.3163668,2.7506757,2.7624446,2.7513468
5.1,5.1,5.1,17685.323160394044,17805.287886544913,17610.228858680526,4.3233731,4.3311036,4.3152222,2.7659944,2.7700079,2.7667532
5.15,5.15,5.15,17786.938358557978,17891.423671899553,17710.715225748372,4.3224118,4.330906,4.3141073,2.7811458,2.782826,2.7819896
5.2,5.2,5.2,17887.584567681,17990.18792511349,17810.249358723788,4.3214656,4.3305601,4.3129681,2.7960899,2.7969314,2.7970606
5.25,5.25,5.25,17987.909752753396,18092.52160888588,17909.489223551795,4.3205027,4.329653,4.3118634,2.8109248,2.8118481,2.8119742
5.3,5.3,5.3,18086.702702817103,18194.633002065144,18007.4492712368,4.3194549,4.3287447,4.3106843,2.8256041,2.8266498,2.8267458
5.35,5.35,5.35,18185.188201545057,18295.635528242623,18105.032135330646,4.318441,4.3279734,4.3095381,2.8401295,2.8411157,2.8413583
5.4,5.4,5.4,18283.233256405012,18395.474725685584,18202.142079746183,4.3174471,4.3272632,4.3084117,2.8545041,2.8553202,2.8558174
5.45,5.45,5.45,18380.668393703625,18475.47870889866,18298.647875125305,4.3164566,4.3260903,4.30729,2.8687305,2.8680345,2.8701278
5.5,5.5,5.5,18477.52080711645,18600.139439427097,18394.576776109683,4.3154687,4.325641,4.3061743,2.8828141,2.884132,2.8842932
5.55,5.55,5.55,18573.78439760943,18697.911505633692,18489.944177746846,4.3144867,4.3254654,4.305064,2.8967533,2.8973454,2.8983169
5.6,5.6,5.6,18669.427479953705,18792.709481220303,18584.719044031724,4.313505,4.3248104,4.3039559,2.9105526,2.9106806,2.9122017
5.65,5.65,5.65,18764.530388864398,18889.64951723382,18678.96034042626,4.3125296,4.3240508,4.3028545,2.9242151,2.9242388,2.9259503
5.7,5.7,5.7,18859.032111896933,18985.90047714651,18772.629114354666,4.3115541,4.3232687,4.3017555,2.9377438,2.9376762,2.9395653
5.75,5.75,5.75,18952.909986230272,19081.52145548241,18865.703298776032,4.3105764,4.322502,4.300655,2.9511404,2.9509631,2.9530502
5.8,5.8,5.8,19046.338564143192,19176.736463777837,18958.29601228364,4.309613,4.3217498,4.2995673,2.9644066,2.9641225,2.9664034
