mass_2myr,mass_1myr,mass_3myr,teff_2myr,teff_1myr,teff_3myr,logg_2myr,logg_1myr,logg_3myr,logL_2myr,logL_1myr,logL_3myr
0.92,0.86,0.92,3791.7081320891175,3683.775880328582,3812.762029711049,3.7413698,3.5509331,3.8538118,-0.0708971,0.0400833,-0.1737197
0.94,0.88,0.94,3803.6040398896,3688.5349254775356,3831.7097140588585,3.7448057,3.5552753,3.8567249,-0.0595511,0.0479681,-0.1586814
0.96,0.9,0.96,3824.8305541035215,3727.026665657408,3848.1358903071527,3.7465813,3.5598028,3.8581397,-0.0425157,0.0712352,-0.1435215
0.98,0.92,0.98,3838.3908911080084,3742.6386654198022,3872.4123810545975,3.7494039,3.5638417,3.8645681,-0.0302355,0.0840032,-0.1300701
1.0,0.94,1.0,3861.270259563763,3760.8386376037797,3880.520660229734,3.7530473,3.5675735,3.8641754,-0.0147813,0.0980385,-0.1172698
1.02,0.96,1.02,3879.243132816172,3777.3271482027444,3907.8465331319658,3.7564616,3.5691366,3.8674152,-0.0015281,0.1132184,-0.0997197
1.04,0.98,1.04,3899.7242581366295,3787.3679525686393,3923.680173534706,3.7583162,3.5724004,3.86945,0.0141981,0.1235209,-0.086297
1.06,1.0,1.06,3919.573384776195,3811.6902389623,3945.522278674735,3.7607022,3.5770596,3.872173,0.0289042,0.1387563,-0.0711038
1.08,1.02,1.08,3939.30946921442,3834.5481894849277,3965.075853850021,3.7643082,3.5792948,3.8752083,0.0421413,0.1555075,-0.057433
1.1,1.04,1.1,3961.105412911426,3855.3649963529015,3986.426856422057,3.7668861,3.5812169,3.8780856,0.0571178,0.1714241,-0.0430124
1.12,1.06,1.12,3980.0900669728403,3874.9713869996863,4007.9334347988033,3.7683561,3.5823737,3.8798726,0.0717788,0.1873514,-0.0276273
1.14,1.08,1.14,3999.5101197649074,3876.6857690347397,4022.808878846113,3.7722197,3.586924,3.8820405,0.0840578,0.1916874,-0.0156727
1.18,1.1,1.18,3995.6045591030006,3937.648993277909,4027.9799490030514,3.7781138,3.5894857,3.8844763,0.0914435,0.2242006,-0.0008997
1.2,1.12,1.2,4014.891377701429,3936.8167515815403,4034.0047011934967,3.7801938,3.5904582,3.8853399,0.1050282,0.2306859,0.0081325
1.22,1.14,1.22,4079.347477910002,3958.2352310078645,4054.3309805909066,3.7833145,3.5950591,3.8893145,0.1367535,0.2431974,0.0200676
1.24,1.18,1.24,4103.492084306911,3999.5589288883543,4128.7719921398875,3.7857089,3.5987335,3.89442,0.1516725,0.2725425,0.0536306
1.26,1.2,1.26,4124.518918662546,4015.2195754457634,4153.011177685673,3.7886167,3.6011659,3.8971025,0.1645925,0.284198,0.0680657
1.28,1.22,1.28,4146.301702343973,4047.343828614786,4176.017404319564,3.7919907,3.6031314,3.8999734,0.1772082,0.3032541,0.0816314
1.3,1.24,1.3,4170.984731017544,4064.573674629073,4201.6696146169115,3.794549,3.6047263,3.9025065,0.1916939,0.3161008,0.0964699
1.32,1.26,1.32,4193.907041096187,4084.6119162270898,4227.67311354837,3.7963202,3.6073266,3.904389,0.2060742,0.3289926,0.1119361
1.34,1.28,1.34,4219.515630537214,4106.763561895473,4257.590616041563,3.7996574,3.6106901,3.9075952,0.2198431,0.3418641,0.1275104
1.36,1.3,1.36,4250.128882905944,4129.5982199633345,4291.176719078515,3.8044431,3.6127372,3.9120714,0.2340497,0.3561827,0.1431186
1.38,1.32,1.38,4283.5338184468765,4152.444150563845,4325.487885341199,3.8076351,3.6132829,3.9156507,0.2507981,0.3718518,0.1597142
1.4,1.34,1.4,4319.689193876192,4177.959252451311,4362.5066300522785,3.8128647,3.6162439,3.920645,0.2664188,0.3860632,0.175773
1.42,1.36,1.42,4357.753897635604,4206.116524205861,4402.127327814073,3.8177675,3.6208051,3.9255575,0.282917,0.3996046,0.1927265
1.44,1.38,1.44,4398.644869053682,4236.644270206339,4444.8376217036075,3.8242185,3.6218374,3.9316172,0.298765,0.417475,0.2095142
1.46,1.4,1.46,4441.359213738928,4270.976678643789,4489.81038357736,3.8303684,3.6257929,3.9375652,0.3153933,0.4337892,0.2270449
1.48,1.42,1.48,4485.821622643597,4308.252016908469,4536.578184340083,3.8361535,3.6289166,3.9434266,0.3328218,0.4519214,0.245094
1.5,1.44,1.5,4532.537438187506,4348.247941185873,4585.4683480185995,3.8429713,3.634445,3.9499241,0.3498307,0.4685201,0.2630473
1.52,1.46,1.52,4580.61720517548,4390.303056302342,4635.7531277201015,3.8501935,3.6390103,3.9566997,0.3666914,0.486666,0.2809704
1.54,1.48,1.54,4628.261618145115,4433.896998175168,4686.017433717481,3.8567872,3.6424851,3.9629076,0.3837504,0.5062644,0.2991742
1.56,1.5,1.56,4674.702743182705,4479.571779447542,4735.485378471903,3.8634449,3.6476961,3.9689631,0.4000412,0.5246864,0.3169648
1.58,1.52,1.58,4718.564543729755,4526.918752448319,4782.723785699054,3.8692093,3.6534961,3.9740808,0.4160329,0.5429036,0.334623
1.6,1.54,1.6,4759.111720351601,4574.295324641213,4826.983341291121,3.8742115,3.65818,3.9784315,0.4313575,0.5619831,0.351737
1.62,1.56,1.62,4795.835741570925,4620.427925163312,4867.922999841371,3.8786566,3.6636679,3.9819203,0.4456608,0.579531,0.3683147
1.64,1.58,1.64,4828.011545724849,4663.586108601907,4904.635079242905,3.8819252,3.6683444,3.9842691,0.459337,0.5965381,0.384347
1.66,1.6,1.66,4855.267921791684,4702.929841808239,4936.966723882702,3.884347,3.6723199,3.9855632,0.4719594,0.6126197,0.3997312
1.68,1.62,1.68,4877.016220311192,4737.948109778186,4964.019741686127,3.885461,3.6764086,3.9855067,0.4838103,0.626813,0.414482
1.7,1.64,1.7,4893.00658237363,4767.7996783403,4985.434330681244,3.8853975,3.6793808,3.9842764,0.4947,0.6400806,0.42833
3.8049652,1.66,3.8487301,6480.4565034783955,4792.24375381625,7126.337721768774,3.8179805,3.6820254,3.8568803,3.8240125,0.6515837,3.860727
3.8628438,1.68,3.8864437,7350.361521039034,4810.808836372004,7741.1075266762755,3.8697379,3.6834583,3.890898,3.8729145,0.6620688,3.8929484
3.8957605,1.7,3.9122085,7940.486285699221,4823.084824413485,8163.533889715342,3.9032502,3.6842561,3.9116832,3.905941,0.6708377,3.9109185
3.9097349,3.8923232,3.8742482,8093.670128596645,7740.792038414645,7376.049116734761,3.9061868,3.8846352,3.8604338,3.8952938,3.8798233,3.8519149
3.8420597,3.7819137,3.6455555,6770.01607667183,5731.043435735217,3950.5166815591706,3.8171394,3.7285976,3.5517613,3.8011695,3.6911085,3.5125951
3.4803384,3.5797165,3.8952971,2908.9054143177755,4360.447882225256,9972.455338395612,3.486838,3.7113899,4.087079,3.5302876,3.7968751,4.1394824
4.1583779,4.233309,4.3403225,14615.87768816117,19032.721817738035,22008.0518215464,4.1750858,4.3156476,4.3432106,4.1970218,4.3337484,4.3426817
4.3418461,4.3385596,4.3350775,21926.251940469952,21761.979657613654,21596.924000220006,4.3402211,4.3368278,4.3332764,4.3393832,4.3359646,4.3326221
4.3314235,4.3277296,4.3243645,21402.86932925261,21215.69679345394,21055.865608117194,4.3295286,4.3256926,4.3224118,4.3287283,4.3253028,4.3214656
4.3205027,4.3164566,4.3125296,20866.75418540634,20676.10361982138,20490.57284825739,4.318441,4.3144867,4.3105764,4.3174471,4.313505,4.309613
3.4168491,3.2875213,3.2265749,2465.133252573734,1844.9827075209585,1688.8415296545286,3.3491185,3.2531401,3.2387945,3.3147935,3.2485487,3.2654684
3.3137837,3.4644991,3.5354987,2320.9939050694397,3065.7010315261805,3533.263280349203,3.4058761,3.5051656,3.5596277,3.4380422,3.5212692,3.5701161
3.5797286,3.6107836,3.6325334,3877.366020303698,4138.99879535041,4335.205609938159,3.5966394,3.6225761,3.6411578,3.6040927,3.6277313,3.6449823
3.6475312,3.6597467,3.6698924,4474.506053815309,4597.18520124784,4700.655240967464,3.6538612,3.6651251,3.6741356,3.6568272,3.6676109,3.6760485
3.6785659,3.6896359,3.6955185,4811.866834528971,4914.91713421515,4965.571045599737,3.6853443,3.6930586,3.6973499,3.6874093,3.694382,3.6984538
3.6993149,3.6933023,3.6919324,5010.892663744924,4935.219804319161,4909.157887164742,3.7003097,3.6930755,3.6898142,3.6930869,3.6926265,3.688369
3.6866461,3.6766032,3.6601765,4837.514725156646,4711.7756125704145,4515.547343276393,3.6822823,3.6693318,3.648547,3.6796201,3.6650165,3.6415788
3.633598,3.58573,3.5010923,4211.280797131999,3705.5262998124267,2958.3843746468183,3.613669,3.5495178,3.4376146,3.6007198,3.5271168,3.4031794
3.3715397,3.2788191,3.3314467,2205.0939616633996,1865.1230958635938,2231.882875467809,3.3181975,3.2807002,3.3853241,3.2962128,3.303616,3.4274972
3.4761832,3.7530945,4.0845384,3407.327669548786,6959.268618385752,13324.944229585444,3.5970821,3.9347822,4.1420108,3.6707669,4.0195342,4.149758
4.157132,4.2542484,4.3289059,14787.654665928116,19299.786289395703,21434.01843967605,4.1901563,4.3087758,4.330906,4.2194047,4.3226276,4.3305601
4.329653,4.3260903,4.3240508,21317.913712327154,21166.107620709503,21050.804599364274,4.3279734,4.3254654,4.322502,4.3272632,4.3248104,4.3217498
3.4975759,3.6561683,3.753119,3126.430652370885,4827.578005802114,5899.758029314054,3.5282549,3.7259487,3.7869249,3.6035343,3.7534802,3.801833
3.8157145,3.8624037,3.8978577,6738.873437782321,7450.6300554268155,8028.8233004044505,3.8406435,3.8815443,3.9110163,3.8519589,3.890215,3.9171236
3.9231495,3.9456598,3.9642394,8492.35616577091,8926.323045558489,9296.348583218596,3.9347367,3.9554492,3.9722469,3.9403481,3.9599776,3.976056
3.9778673,3.9919696,4.003272,9584.381672238178,9887.154030092688,10132.215076871858,3.9851563,3.9979376,4.0078161,3.9886268,4.0007092,4.0099291
4.012722,4.0236812,4.0232941,10391.35064806999,10582.088760771325,10505.32034150228,4.0197606,4.0248386,4.019207,4.0220839,4.0243374,4.0161415
4.0122684,3.9778475,3.927147,10175.351018793108,9297.074262521945,8076.2880471261515,4.0018701,3.9570197,3.8824137,3.9858401,3.9434886,3.8508492
3.809919,3.6059209,3.7170158,5732.347370109157,3765.750999189109,6435.282254233878,3.7017915,3.5872345,3.9191469,3.6499671,3.6435131,4.0372045
4.1262533,4.2024107,4.3421586,14634.490261953504,17459.6566939421,22263.205752614107,4.1717571,4.2923147,4.3487973,4.1803483,4.3277976,4.3480732
4.3473877,4.3447804,4.3411839,22246.981824668816,22076.997069628276,21914.66317490249,4.3459658,4.3430276,4.3397685,4.345209,4.3421165,4.3387691
4.3377558,4.3335206,4.3291308,21712.94838594257,21499.77921042713,21283.208519561926,4.3356624,4.33134,4.3268893,4.3345961,4.33024,4.3258966
4.3246362,4.3209167,4.3163668,21061.514626205528,20882.630303578015,20664.37145736297,4.3223558,4.3186391,4.3141073,4.3212655,4.3174662,4.3129681
