_RAJ2000,_DEJ2000,_r,m_ID,ID,Nvis,RAJ2000,DEJ2000,SNR,SaFlag,HRV,e_HRV,s_HRV,errHRV,f_Teff,Teff,e_Teff,f_logg,logg,e_logg,f_Vmicro,Vmicro,Vmacro,f_Vsini,Vsini,f_[M/H],[M/H],e_[M/H],f_[a/M],[a/M],e_[a/M],Chi2,TClass,AFlag,f_[C/Fe],[C/Fe],e_[C/Fe],f_[CI/Fe],[CI/Fe],e_[CI/Fe],f_[N/Fe],[N/Fe],e_[N/Fe],f_[O/Fe],[O/Fe],e_[O/Fe],f_[Na/Fe],[Na/Fe],e_[Na/Fe],f_[Mg/Fe],[Mg/Fe],e_[Mg/Fe],f_[Al/Fe],[Al/Fe],e_[Al/Fe],f_[Si/Fe],[Si/Fe],e_[Si/Fe],f_[P/Fe],[P/Fe],e_[P/Fe],f_[S/Fe],[S/Fe],e_[S/Fe],f_[K/Fe],[K/Fe],e_[K/Fe],f_[Ca/Fe],[Ca/Fe],e_[Ca/Fe],f_[Ti/Fe],[Ti/Fe],e_[Ti/Fe],f_[TiII/Fe],[TiII/Fe],e_[TiII/Fe],f_[V/Fe],[V/Fe],e_[V/Fe],f_[Cr/Fe],[Cr/Fe],e_[Cr/Fe],f_[Mn/Fe],[Mn/Fe],e_[Mn/Fe],f_[Fe/H],[Fe/H],e_[Fe/H],f_[Co/Fe],[Co/Fe],e_[Co/Fe],f_[Ni/Fe],[Ni/Fe],e_[Ni/Fe],f_[Cu/Fe],[Cu/Fe],e_[Cu/Fe],f_[Ce/Fe],[Ce/Fe],e_[Ce/Fe],Gaia,Sp
83.45535889,-5.54587306,0.395,1,2M05334928-0532451,1,83.455359,-5.545873,185.733,512,17.289,1.66357,0.0,1.66357,4,,,4,,,4,0.775836,1.0,261,95.91797,4,,,4,,,3.26746,Fd_d,8389248,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,261,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.46382389,-5.38790389,0.353359,2,2M05335131-0523164,5,83.463824,-5.387904,70.9864,0,24.158001,0.217357,1.38552,0.439508,4,,,261,,,4,0.953176,6.363505,65540,,4,,,4,,,1.59805,GKg_b,109053568,4,,,4,,,4,,,4,,,4,,,260,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.46382389,-5.38790389,0.353359,2,2M05335131-0523164,5,83.463824,-5.387904,62.3125,512,25.161301,0.60213,0.0,0.60213,4,,,261,,,4,0.810414,6.786921,65540,,4,,,4,,,2.05546,GKg_c,109053568,4,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.46712111,-5.50791194,0.370263,2,2M05335210-0530284,2,83.467121,-5.507912,83.5181,512,25.182699,0.039063,0.0,0.039063,4,,,4,,,4,0.796609,1.0,4,14.28236,4,,,4,,,3.33119,Md_d,8389248,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.46712111,-5.50791194,0.370263,2,2M05335210-0530284,2,83.467121,-5.507912,75.954,512,24.1227,0.041948,0.0,0.041948,4,,,4,,,4,0.952954,1.0,4,15.49887,4,,,4,,,2.36331,Md_d,8389248,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.46826611,-5.52305306,0.374405,1,2M05335238-0531229,1,83.468266,-5.523053,41.4156,512,53.459801,0.053012,0.0,0.053012,4,,,4,,,4,1.617372,3.978229,65540,,4,,,4,,,1.527,GKg_d,8391296,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.47119611,-5.58758111,0.399792,1,2M05335308-0535152,3,83.471196,-5.587581,6.62815,512,9.78044,0.336153,0.239182,0.474456,4,,,4,,,4,,,4,,4,,,4,,,,,-2139095040,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.47186,-5.27590111,0.362885,2,2M05335324-0516332,2,83.47186,-5.275901,198.241,0,13.2547,0.014214,0.0,0.014214,0,4755.899,83.637,67108864,4.6995,0.0989,0,0.580163,1.0,0,5.50503,0,-0.046734,0.00740779,0,0.01406,0.004253,3.45502,GKd_b,0,0,-0.075914,0.009867,0,-0.154629,0.020061,0,-0.126218,0.037593,0,0.068218,0.013048,512,,,0,-0.049681,0.009508,0,-0.049026,0.015811,0,-0.086192,0.008415,512,,,0,0.039615,0.046715,0,-0.025101,0.018283,0,-0.002707,0.01026,0,0.009263,0.023851,512,,,512,,,0,0.082497,0.033209,0,-0.101562,0.016924,0,-0.023343,0.007825,0,-0.490092,0.110111,0,-0.044072,0.014304,0,0.092788,0.049506,512,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.47186,-5.27590111,0.362885,2,2M05335324-0516332,2,83.47186,-5.275901,246.65,0,13.1184,0.011445,0.0,0.011445,4,,,4,,,4,0.666868,1.0,4,3.76097,4,,,4,,,3.32139,GKd_b,8388608,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.47709389,-5.53342806,0.370201,1,2M05335450-0532003,1,83.477094,-5.533428,46.7863,512,30.2908,0.116756,0.0,0.116756,4,,,4,,,260,0.309863,1.0,4,30.20647,4,,,4,,,1.57308,Md_d,8391296,4,,,4,,,260,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
