RAJ2000,DEJ2000,_2MASS,Gaia,more,Nep,Teff,e_Teff,logg,e_logg,l_RVmean,RVmean,e_RVmean,Fbol,e_Fbol,Av,e_Av
82.221565246582,-2.95082902908325,b'2M05285317-0257029',3210973045764356480,b'*',1,6491.29,222.081,4.1655,0.0898452,b'<',2.87573,0.0,17.765682,0.764026,0.0,0.0
84.735969543457,-2.95059704780579,b'2M05385663-0257021',3216054129513969792,b'*',3,3680.34,14.3641,4.74202,0.0458095,b' ',89.1813,0.110619,0.669105,0.028775,0.05,0.05
84.6534423828125,-2.94956707954407,b'2M05383682-0256584',3216049177416721920,b'*',3,3887.84,10.9765,4.30943,0.0434771,b' ',30.2432,0.190242,0.60757,0.041179,1.3,0.2
84.673454284668,-2.94929313659668,b'2M05384162-0256574',3216049147351916800,b'*',3,5759.76,26.0681,4.20861,0.0527929,b' ',247.987,0.122778,2.243416,0.095453,1.7,0.35
84.6263046264648,-2.94903898239136,b'2M05383031-0256565',3216049284790878720,b'*',1,6409.8,646.141,4.85817,0.179648,b' ',45.8117,0.750914,7.27244,0.0,0.1,0.0
84.665901184082,-2.94617891311646,b'2M05383981-0256462',3216049147351917824,b' ',2,4133.15,13.0421,4.35315,0.0473332,b' ',30.0131,0.153531,1.809966,0.321077,0.75,0.75
84.889533996582,-2.94580411911011,b'2M05393348-0256448',3216043237476880384,b'*',4,5514.49,38.0351,4.5116,0.0550402,b' ',67.1856,0.105952,1.923752,0.043473,1.85,0.0500002
84.7883911132812,-2.94297790527344,b'2M05390921-0256347',3216042756440559744,b'*',2,13456.6,670.935,4.5867,0.0619474,b'<',8.92841,0.0,172.05635,9.691372,0.4,0.0500001
80.7493896484375,-2.94011902809143,b'2M05225985-0256244',3213929490795558656,b'*',1,6857.7,435.405,5.28108,0.129636,b' ',-24.8221,0.440989,16.078652,0.0,0.7,0.0
81.3978652954102,-2.93982195854187,b'2M05253548-0256233',3211011769189275392,b'*',1,4592.0,44.6685,3.52523,0.100122,b' ',46.223,0.202755,3.199968,0.0,1.05,0.0500001
84.7432174682617,-2.93539810180664,b'2M05385837-0256074',3216054163873703808,b'*',3,6512.57,747.565,4.97521,0.221998,b'<',1.00773,0.0,1.868959,0.026416,1.4,0.05
