ID,_RAJ2000,_DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,Ndet,Dt,F139,Note
74,83.7673803,-5.37344179,0.57,0.22,0.01,0.07,3,10.4,13.53,
75,83.79847319,-5.38098951,-0.04,0.79,-0.2,0.24,6,16.3,13.01,
76,83.83368554,-5.34552758,0.05,0.23,0.04,0.23,3,16.3,12.08,
77,83.7724077,-5.4029353,0.14,0.36,-0.19,0.08,3,10.6,11.51,
78,83.79246926,-5.35009455,-0.02,0.21,0.35,0.2,3,16.4,14.37,
79,83.7988262,-5.39455204,-0.32,0.53,2.45,0.18,6,19.2,12.29,
80,83.85012264,-5.38719113,-0.77,0.3,-2.16,0.06,5,16.9,13.41,
81,83.76745931,-5.33676015,0.58,1.48,0.25,0.4,3,11,14.8,
82,83.84011174,-5.39048786,-0.26,0.09,-0.84,0.11,3,16.3,14.09,
83,83.84430767,-5.36038152,1.15,0.14,0.11,0.12,3,11,14.47,
84,83.8287138,-5.40485486,-0.62,0.44,0.34,0.22,6,19.3,13.04,
85,83.83853204,-5.38319062,-1.01,0.09,1.24,0.08,4,16.3,12.4,
86,83.83764907,-5.37366437,-1.02,0.09,1.41,0.72,3,16.3,13.29,
87,83.81317593,-5.39629743,1.87,0.06,-0.65,0.02,4,16.9,12.11,
88,83.82660122,-5.40743229,-1,0.31,0.31,0.1,6,16.3,12.91,
89,83.84106293,-5.3689737,0.15,0.29,1.13,0.13,4,16.3,12.42,
90,83.81908593,-5.40167807,-1.12,0.07,0.81,0.17,4,16.9,11.88,
91,83.85613306,-5.35955807,0.3,0.15,-1.08,0.17,3,16.3,12.41,
92,83.84869886,-5.37020094,0.28,0.22,0.02,0.38,3,11,13.89,
93,83.81107017,-5.37604127,-0.63,0.02,0.14,0.11,4,14,9.68,
94,83.81195375,-5.37544002,0.31,0.1,0.7,0.04,7,14,12.73,
95,83.77367202,-5.39592994,-0.14,0.29,-0.6,0.39,5,16.4,14.52,
96,83.8114819,-5.34136579,-0.84,0.12,1.11,0.31,3,19.5,12.31,
97,83.80162058,-5.34665144,-0.53,0.12,-3.76,0.06,4,20.1,13.96,
98,83.85142447,-5.3756424,-1.58,0.25,0.12,0.08,4,16.9,13.23,
99,83.80427743,-5.36691945,-0.6,0.06,-0.52,0.09,3,16.3,13.07,
100,83.82390268,-5.41213863,-0.22,0.37,0.08,0.09,6,19.9,13.31,
101,83.83259851,-5.37265142,-0.01,0.57,1.61,0.11,3,14.1,11.99,
102,83.82930817,-5.41749445,-0.04,0.13,0.03,0.23,4,13.8,13.42,
103,83.82782957,-5.39901463,-0.87,0.26,-0.75,0.12,6,19.3,13.28,
104,83.83559799,-5.40581264,-0.58,0.2,-0.92,0.05,4,19.3,12.65,
105,83.86004144,-5.3839982,0.05,0.13,-0.71,0.15,4,16.3,13.26,
106,83.85902015,-5.38251423,0.72,0.13,1.17,0.03,3,16.3,12.89,
107,83.832624,-5.35221342,-0.33,0.04,0.64,0.41,3,11,14.46,
108,83.81053747,-5.36849131,0.64,0.47,1.07,0.62,5,16.3,13.36,
109,83.80544353,-5.33857069,-0.02,0.26,1.56,2.06,3,14.6,11.98,
110,83.81792333,-5.36951911,0.03,0.1,-1.97,0.14,5,16.3,12.77,
111,83.85716544,-5.38593032,-0.15,0.17,0.53,0.09,4,14,11.44,
112,83.82588912,-5.40841564,0.79,0.19,2.27,0.12,6,16.9,13.16,
113,83.84864829,-5.41593398,0.37,0.44,1.21,0.12,4,14.6,12.29,
114,83.81714071,-5.37013919,0.97,0.22,-0.2,0.03,4,16.4,13.18,
115,83.74714017,-5.39246433,-0.56,0.22,-0.44,0.08,3,10.6,13.33,
116,83.84034491,-5.36306335,-1.42,0.67,0.18,0.68,3,16.3,12.04,
117,83.80822753,-5.35647154,1.21,0.49,-0.58,0.23,4,16.4,12.22,
118,83.82077446,-5.39362293,2.97,0.37,2.67,1.38,3,14.1,10.97,
119,83.82716489,-5.34520079,-1.7,0.12,0.6,0.22,3,16.3,12.39,
120,83.86723966,-5.38512152,0.19,0.35,1.16,0.12,3,10.4,12.2,
121,83.82602543,-5.38766802,1.26,0.24,1.03,0.04,5,14,11.69,
122,83.79247748,-5.3391637,-0.64,0,0.86,0.11,3,16.4,13.49,
123,83.81667616,-5.36306024,-0.3,0.09,-0.52,0.18,4,16.4,12.5,
124,83.81567225,-5.36105685,0.6,0.15,-0.21,0.1,6,16.4,12.51,
125,83.84219447,-5.37613205,-0.91,0.27,1.93,0.14,3,16.3,12.58,
126,83.78079723,-5.37471475,0.1,0.09,0.44,0.07,3,10.4,13.24,
127,83.79577554,-5.37354583,-0.51,0.18,-1.04,0.11,4,16.3,13.12,
128,83.81782713,-5.35253648,-0.91,0.04,-0.53,0.16,3,16.3,11.89,
129,83.77617801,-5.3674102,-0.32,0.24,0.11,0.34,3,16.4,10.65,
130,83.81910424,-5.35431707,-0.67,0.1,-2.16,0.5,6,20.1,14.29,
131,83.78031502,-5.37404845,0.24,0.09,-0.66,0.78,4,10.4,12.1,
132,83.81745911,-5.35302118,-0.28,0.23,-1.19,0.25,4,16.4,13.4,
133,83.78987864,-5.32851512,0.59,0.03,0.32,0.09,3,16.4,15.78,
134,83.81667361,-5.35273362,0.19,0.44,-0.33,0.47,4,16.4,10.26,
135,83.84072463,-5.39425424,-1.39,0.13,-0.33,0.05,4,14,12.44,
136,83.81796169,-5.37264267,-0.87,0.13,-1.57,0.16,5,19.4,13.23,
137,83.80750185,-5.36862019,-1.51,0.9,-1.03,0.52,3,14,9.7,
138,83.82656866,-5.36222948,-0.84,0.07,2.23,0.09,4,19.5,13.23,
139,83.84119352,-5.39876106,0.98,0.09,0.84,0.21,5,19.3,12.66,
140,83.76184965,-5.3689774,-0.96,0.15,-1.85,0.31,3,10.4,11.4,
141,83.8408159,-5.38629715,0.34,0.02,-0.81,0.34,4,16.3,12,
142,83.835959,-5.38213324,0.05,0.1,-1.34,0.07,5,16.3,13.92,
143,83.83005295,-5.38074668,-1.51,0.71,-1.07,0.1,6,16.3,11.59,
144,83.81747065,-5.35898225,-1.54,0.18,-0.03,0.03,5,16.4,12.67,
145,83.8420605,-5.40913201,1.36,0.47,-1.32,0.33,3,16.3,12.06,
146,83.80633372,-5.37209918,-0.7,0.14,-1.02,0.32,6,14.5,11.39,
147,83.80726222,-5.37276845,-0.89,0.21,1.08,0.49,7,14.5,11.08,
148,83.82946891,-5.39712649,1.86,0.36,-1.37,1.24,3,14,11.7,
149,83.85215038,-5.41710788,-1.06,0.2,-0.15,0.09,3,14.6,12.94,
150,83.79908275,-5.36540997,-0.03,0.66,-0.3,0.94,4,16.4,12.68,
151,83.81808926,-5.38029743,1.21,0.2,0.51,0.27,4,14,11.84,
152,83.8375924,-5.39881381,0.23,0.28,-1.41,0.19,5,19.3,13.3,
153,83.84096332,-5.37784917,-0.33,0.31,0.48,0.31,3,16.3,13.59,
154,83.81599542,-5.37941118,-0.38,0.31,-1.82,0.25,3,14,11.54,
155,83.77693363,-5.35521717,0.64,0.04,0.25,0.59,3,16.4,13.51,
156,83.7895041,-5.34964686,0.72,1.16,0.33,0.27,3,16.4,13.76,
157,83.81871928,-5.37642795,-0.45,0.05,-0.6,0.14,4,14,13.57,
158,83.83842796,-5.36671183,-0.64,0,0.61,0.21,3,16.3,12.53,
159,83.80460446,-5.35370007,-0.16,0.58,0.15,0.01,3,16.4,13.43,
160,83.84338928,-5.41931706,1.58,0.43,-0.33,0.04,3,14.6,11.92,
161,83.81331818,-5.38176439,1.61,0.2,0.29,0.42,3,14,9.87,
162,83.8246826,-5.34872635,-0.54,0.08,1.15,0.28,3,14.1,12.96,
163,83.80637193,-5.39190738,-0.55,0.14,-0.16,0.02,3,14,12.18,
164,83.81434924,-5.39596567,1.1,0.08,-0.68,0.23,4,16.9,11.16,
165,83.85402071,-5.40042958,-2.54,0.24,-0.56,0.45,4,16.3,12.72,
166,83.78757596,-5.33659171,-0.12,0.19,1.09,0.01,4,17,14.33,
167,83.78428629,-5.34636719,-0.44,2.92,1.04,0.16,3,11,14.01,
168,83.80249996,-5.3452588,0.17,0.24,-1.16,0.06,3,14.6,13.53,
169,83.79256223,-5.38931263,1.31,0.63,-0.86,0.43,6,16.3,10.85,
170,83.83959587,-5.38796624,0.19,0.03,-0.01,0.17,4,16.3,12.26,
171,83.7855194,-5.41154707,-1.82,0.73,-0.07,0.18,4,10.6,12.79,
172,83.82110463,-5.35658659,0.51,0.17,-0.36,0.14,5,19.5,13.48,
173,83.81705686,-5.40318837,-1.73,0.13,-0.79,0.12,6,16.9,12.4,
174,83.82530191,-5.40031215,-1.06,0.27,0.41,0.49,4,19.3,11.97,
175,83.81974497,-5.37534254,0.65,0.11,1.33,0.18,4,16.4,12.73,
176,83.77256118,-5.4041894,0.95,0.25,1.04,0.23,4,17,12.81,
177,83.85290597,-5.40991981,0.18,0.65,1.11,0.32,3,14.6,11.28,
178,83.82425255,-5.40850171,0.34,0.21,-2.4,0.1,5,13.8,12.94,
179,83.8224459,-5.40007335,0.28,0.23,-2.25,0.15,4,19.3,12.36,
180,83.8210842,-5.3943769,-0.02,0.15,0.83,0.4,3,14.1,11.39,
181,83.8495259,-5.3925612,0.95,0.18,-0.12,0.31,4,16.3,13.66,
182,83.86234605,-5.40010811,1.23,0.38,-0.27,0.02,4,16.3,13.44,
183,83.82425669,-5.3876611,-1.61,0.17,0.6,0.38,3,14,10.64,
184,83.84884688,-5.38885715,0.3,0.2,0.18,0.01,4,16.3,13.11,
185,83.82283788,-5.40482344,0.36,0.1,0.23,0.15,5,13.8,13.28,
186,83.77415571,-5.38778879,0.31,0.1,-0.57,0.04,4,16.4,13.81,
187,83.85051833,-5.36544299,0.02,0.3,0.53,0.27,3,16.3,13.46,
188,83.77678786,-5.38757757,-2.24,0.03,1.23,0.18,4,16.4,13.55,
189,83.76542307,-5.37937418,-0.13,0.48,-0.16,0.19,3,10.4,13.07,
190,83.76288747,-5.3771776,-0.2,0.38,1.01,0.05,3,10.4,11.83,
191,83.79856596,-5.4059606,0.34,0.13,-0.52,0.14,8,19.9,12.57,
192,83.83572061,-5.34532914,-0.29,0.05,0.28,0.82,3,16.3,12.27,
