APOGEE_ID,PM_ID,_RAJ2000,_DEJ2000,rv,rv_e,pmRA,pmRA_e,pmDE,pmDE_e,teff,teff_e,vsini,vsini_e,veiling,Jmag,Jmag_e,Hmag,Hmag_e,Kmag,Kmag_e,Gaia
2M05352317-0522283,623,83.84654167,-5.37452778,25.57,0.31,-0.28,0.19,-0.09,0.21,3933.29,12.09,3.56,1.35,1.1,14.465,0.03,12.132,0.029,10.898,0.03,3017365570852334336
2M05352321-0521357,535,83.84670833,-5.35991667,47.65,0.56,-1.26,0.21,-1.92,0.2,3132.12,14.43,53.83,1.35,1.11,13.171,0.034,12.204,0.029,11.756,0.018,3017365643877689728
2M05352332-0521254,556,83.84716667,-5.35705556,29.54,0.34,1.51,0.23,-0.34,0.22,4235.67,10.56,11.89,1.41,1.17,12.472,0.048,11.187,0.044,10.336,0.035,3017365678237816960
2M05352349-0520016,,83.847875,-5.33377778,26.49,1.78,,,,,4058,27,53.43,1.19,0.55,14.484,0.036,12.047,0.033,10.767,0.026,3017365983169196416
2M05352433-0522322,98,83.851375,-5.37561111,25.14,1.61,-1.58,0.25,0.12,0.08,4290.35,48.94,16,0.59,1.39,13.73,0.059,11.781,0.058,10.467,0.029,3017365570852340352
2M05352433-0526003,342,83.851375,-5.43341667,26.95,1.57,-0.65,0.36,-0.46,0.28,2822.52,9.19,31.32,3.75,0.22,13.13,0.026,12.434,0.037,12.027,0.028,3017360661716647552
2M05352443-0524398,508,83.85179167,-5.41105556,23.5,0.28,0.85,0.07,-1.81,0.17,4178.56,9.65,39.41,0.55,0.84,10.75,0.032,9.693,0.042,8.912,0.029,3017361035366738688
2M05352445-0524010,269,83.851875,-5.40027778,31.09,0.39,-0.97,0.24,2.31,0.04,2761.69,21.16,20.71,1.05,0.91,12.825,0.104,12.283,0.098,11.509,0.076,
2M05352445-0526314,,83.851875,-5.44205556,24.08,1.2,,,,,3260,197,19.86,0.92,0.69,11.853,0.021,10.838,0.03,10.218,0.019,3017360627356913280
2M05352465-0522425,194,83.85270833,-5.37847222,32.95,0.96,-0.26,0.12,-0.13,0.03,3737.85,46.02,2.23,2.43,0.61,13.418,0.02,11.635,0.029,10.913,0.018,3017362615914842368
2M05352469-0524357,177,83.852875,-5.40991667,24.77,0.34,0.18,0.65,1.11,0.32,4270.39,7.66,35.59,0.49,0.79,11.702,0.031,10.549,0.037,9.8,0.024,3017361035366739328
2M05352488-0525101,450,83.85366667,-5.41947222,25.83,1.74,-0.34,0.25,-0.39,0.2,2889.5,65.12,13.39,0.66,0.24,12.925,0.021,12.005,0.03,11.612,0.018,3017360833515309696
2M05352505-0522585,,83.854375,-5.38291667,29.88,0.21,,,,,4431,7,27.19,0.08,0.38,10.651,0.022,9.431,0.03,8.757,0.018,3017362620221405440
2M05352508-0523467,,83.8545,-5.39630556,31.86,0.29,,,,,4325,7,109.87,0.77,0.05,10.858,0.058,10.175,0.069,9.86,0.058,3017361074033139200
2M05352512-0522252,504,83.85466667,-5.37366667,25.85,0.97,-0.02,0.22,-0.32,0.28,3028.95,7.75,8.51,0.82,0.42,12.998,0.088,12.023,0.068,11.3,0.052,3017362615914843776
2M05352517-0523536,565,83.854875,-5.39822222,27.14,1.76,-0.1,0.21,0.56,0.15,3980.26,58.62,15.5,2.19,1.6,11.127,,12.583,0.2,9.765,,3017361074020765568
2M05352534-0525295,325,83.85558333,-5.42486111,30.22,0.24,-1.16,0.08,-1.66,0.38,2861.28,8.23,16.46,0.49,0.49,13.194,0.021,12.42,0.03,11.873,0.018,3017360730436517248
2M05352537-0524114,13,83.85570833,-5.40316667,27.17,1,-0.14,0.69,-0.42,0.08,4223.46,17.45,18.93,2.36,0.94,12.597,0.089,11.278,0.071,10.394,0.058,3017361069726478976
2M05352543-0521515,,83.85595833,-5.36430556,28.4,0.23,,,,,4188,9,29.41,0.72,0.47,11.929,0.044,10.769,0.043,10.094,0.039,3017365609517619968
2M05352547-0521349,91,83.856125,-5.35969444,31.67,0.25,0.3,0.15,-1.08,0.17,4379.39,7.24,16.07,0.31,0.17,11.817,0.027,10.599,0.037,10.108,0.03,3017365609518429440
2M05352571-0523094,111,83.857125,-5.38594444,26.37,0.31,-0.15,0.17,0.53,0.09,4349.06,5.53,17.91,0.2,0.43,11.896,0.02,10.641,0.029,9.896,0.018,3017362620221405824
2M05352600-0525477,436,83.85833333,-5.42991667,26.44,0.19,-0.02,0.08,-0.33,0.06,4151.75,5.88,16.04,0.25,0.49,11.563,0.029,10.419,0.036,9.83,0.021,3017360657409619328
2M05352605-0521210,,83.85854167,-5.35583333,31.2,0.19,,,,,4392,7,66.77,1.61,0.17,11.47,0.024,9.924,0.031,9.25,0.023,3017365609517617408
2M05352615-0522570,106,83.85895833,-5.3825,26.5,0.26,0.72,0.13,1.17,0.03,3812.07,8.28,12.48,0.58,0.68,13.141,0.061,11.599,0.074,10.832,0.064,3017362620221401856
2M05352618-0525203,350,83.85908333,-5.42230556,28.33,0.28,0.68,0.08,0.91,0.12,3519.43,47.07,25.72,0.63,0.85,13.281,0.021,12.353,0.032,12.043,0.024,3017360833507777920
2M05352634-0525401,,83.85975,-5.42780556,29.74,1.79,,,,,4616,10,104.47,1.27,0.2,9.59,0.024,9.023,0.034,8.652,0.023,3017360661716621696
2M05352696-0524005,182,83.86233333,-5.40013889,26.47,0.42,1.23,0.38,-0.27,0.02,3345.34,16.18,10.65,0.85,1.94,12.983,0.021,12.13,0.03,11.714,0.033,3017361069726480896
2M05352730-0523366,,83.86375,-5.3935,29.7,0.34,,,,,4284,8,30.96,0.15,0.46,11.122,0.021,9.989,0.03,9.35,0.019,3017361074033180928
2M05352813-0523064,120,83.86720833,-5.38511111,26.61,0.89,0.19,0.35,1.16,0.12,3670.84,9.54,58.01,1.07,0.54,12.742,0.02,11.048,0.029,10.04,0.018,3017362551501920640
2M05352838-0525033,,83.86825,-5.41758333,25.7,0.23,,,,,3910,11,11.07,0.38,0.46,11.399,0.031,10.573,0.038,10.249,0.03,3017360829208313728
2M05352958-0524568,,83.87325,-5.41577778,29.81,6.89,,,,,3906,19,14.25,1.47,0.84,11.831,0.024,11.07,0.033,10.765,0.021,3017360799155292416
2M05352985-0523555,,83.874375,-5.39875,26.93,0.18,,,,,3978,18,19.56,0.53,0.59,11.914,0.028,10.82,0.034,10.25,0.024,3017362345343294464
2M05352986-0523484,,83.87441667,-5.39677778,27.24,0.2,,,,,3873,12,14.21,0.38,0.94,12.385,0.028,11.397,0.04,10.818,0.024,3017362345334523648
2M05353048-0524230,,83.877,-5.40638889,33.13,0.36,,,,,4319,8,83.73,0.62,0.13,11.115,0.023,10.31,0.032,10.077,0.021,3017360863568054528
2M05353071-0524312,654,83.87795833,-5.40866667,28.3,1.35,-2.04,1.86,1.68,1.63,2879.93,20.03,19.93,0.42,0.25,12.911,0.023,12.164,0.032,11.833,0.026,3017360863568055040
2M05353074-0521466,548,83.87808333,-5.36294444,24.72,0.3,0.15,0.43,1.1,0.53,4033.18,43.25,8.04,1.48,0.58,13.978,0.04,12.347,0.05,11.611,0.045,3017362753353814272
2M05353099-0522013,538,83.879125,-5.36702778,34.11,2.61,-1.19,0.08,-1.41,0.36,4273.76,42.75,80.53,9.56,0.29,13.358,0.02,11.44,0.031,10.575,0.018,3017362757659330816
2M05353124-0523400,,83.88016667,-5.39444444,24.73,0.17,,,,,4288,5,12.28,0.15,0.29,11.693,0.029,10.783,0.034,10.381,0.024,3017362345343488128
