APOGEE_ID,PM_ID,_RAJ2000,_DEJ2000,rv,rv_e,pmRA,pmRA_e,pmDE,pmDE_e,teff,teff_e,vsini,vsini_e,veiling,Jmag,Jmag_e,Hmag,Hmag_e,Kmag,Kmag_e,Gaia
2M05350992-0521433,359,83.79133333,-5.36202778,28.57,0.71,-1.17,0.06,-0.23,0.48,4131.49,32.85,14.92,1.73,1.03,14.098,0.118,12.185,0.049,11.029,0.046,
2M05351014-0522326,46,83.79225,-5.37572222,28.82,0.27,-1.02,0.2,0.73,0.26,4021.55,10.76,24.02,1.33,0.64,12.168,0.053,11.311,0.052,10.876,0.052,3017364230822470784
2M05351021-0523215,169,83.79254167,-5.38930556,25.51,0.34,1.31,0.63,-0.86,0.43,4329.25,7.55,15.92,0.45,0.98,11.301,,9.755,0.036,8.96,0.019,3017363994611020288
2M05351029-0519563,550,83.792875,-5.33230556,26.54,0.32,-1.68,0.11,1.67,0.1,3449.75,9.32,24.33,0.54,0.54,12.965,0.02,11.882,0.029,11.42,0.018,3017366743390014720
2M05351031-0521130,519,83.79295833,-5.35361111,27.14,0.15,1.14,0.07,-0.36,0.12,4165.05,7.13,8.73,1.04,0.69,11.764,0.031,10.548,0.036,9.932,0.026,3017364406927357952
2M05351041-0519523,552,83.793375,-5.33119444,27.39,0.55,0.82,0.12,-1.53,0.17,3445.06,43.97,19.36,0.24,0.54,12.912,0.065,11.728,0.068,11.129,0.056,3017366743390012032
2M05351047-0526003,595,83.793625,-5.43341667,27.74,2.66,-0.59,0.35,-0.2,0.52,2722.45,220.03,19.91,1.37,0.04,13.059,0.043,12.243,0.07,11.739,0.039,3017360554330360064
2M05351050-0522455,6,83.79375,-5.37930556,24.86,0.29,0.14,0.46,-1.53,0.06,4125.77,7.78,44.03,0.13,0.36,10.491,0.047,9.813,0.064,9.425,0.058,3017364235129434624
2M05351050-0526183,,83.79375,-5.43841667,22.61,0.26,,,,,4504,8,23.52,0.23,0.5,9.701,0.026,8.827,0.033,8.258,0.027,3017360554330360320
2M05351053-0522166,262,83.793875,-5.37127778,27.55,0.28,-0.91,0.25,0.89,0.1,3728.33,8.85,23.61,0.36,0.66,13.211,0.046,11.58,0.057,10.784,0.07,
2M05351061-0522559,251,83.79420833,-5.38219444,26.01,1.01,-0.37,0.15,-0.24,0.1,4244.42,76.7,22.11,1.01,0.89,12.771,,11.492,0.076,10.224,0.051,
2M05351073-0526280,,83.79470833,-5.44111111,28.03,0.26,,,,,3804,9,18.25,0.47,0.64,12.921,0.041,12.169,0.051,11.771,0.036,3017360554330360832
2M05351083-0525569,594,83.795125,-5.43247222,27.93,0.96,0.58,0.3,2.74,0.45,2924.92,41.45,15.96,1.17,0.56,13.505,0.021,12.393,0.033,11.665,0.036,3017360554330361344
2M05351094-0524486,489,83.79558333,-5.4135,24.98,1.48,2.04,0.72,1.94,0.31,3716.95,51.72,28.31,0.28,0.9,11.439,0.026,10.24,0.034,9.493,0.024,3017363547934810112
2M05351149-0526023,,83.797875,-5.43397222,19.04,0.18,,,,,4370,6,42.42,1.6,0.16,9.978,0.026,9.062,0.037,8.738,0.028,3017360554330362752
2M05351163-0522515,75,83.79845833,-5.38097222,25.36,0.24,-0.04,0.79,-0.2,0.24,3054.1,16.36,11.06,1.01,0.99,11.658,,11.99,0.105,11.378,0.103,3017364235129285888
2M05351165-0524213,191,83.79854167,-5.40591667,25.25,0.14,0.34,0.13,-0.52,0.14,3029.6,7.19,12.41,0.51,0.86,12.909,,11.865,0.03,11.342,0.018,3017363921584723456
2M05351178-0521555,150,83.79908333,-5.36541667,26.84,1.28,-0.03,0.66,-0.3,0.94,2929.69,8.11,12.07,1.17,0.51,12.562,0.052,11.872,0.07,11.198,0.153,3017364338207717504
2M05351188-0521032,38,83.7995,-5.35088889,27.48,0.24,-0.25,0.15,0.33,0.52,4292.95,5.88,10.65,0.48,0.74,12.321,0.035,10.46,0.038,9.283,0.041,3017364441286745600
2M05351197-0522541,248,83.799875,-5.38169444,93.82,39.46,0.82,0.57,0,0.53,3781.89,82.67,255.27,23.13,7.21,11.489,,10.684,0.055,9.638,0.043,
2M05351227-0520452,526,83.801125,-5.34588889,28.05,1.13,1.26,0.34,0.46,0.36,3351.49,12.02,7.51,0.52,0.78,12.138,0.044,10.959,0.058,10.279,0.046,3017364436980913152
2M05351227-0523479,,83.801125,-5.39663889,27.37,0.23,,,,,4216,6,12.34,0.31,0.37,10.718,0.206,9.892,0.043,9.568,0.032,3017363990304314496
2M05351259-0523440,,83.80245833,-5.39555556,27.42,1.27,,,,,4445,8,41.44,0.64,0.45,9.841,0.026,9.086,0.038,8.648,0.024,3017364028971010432
2M05351269-0519353,,83.802875,-5.32647222,30.15,0.19,,,,,3713,13,7.39,0.87,0.58,13.47,0.041,12.105,0.029,11.5,0.018,3017366674670235264
2M05351277-0520349,56,83.80320833,-5.34302778,21.73,0.65,0.71,0.15,0.71,0.2,3054.25,12.07,13.47,0.89,1.08,13.585,0.078,12.32,0.065,11.618,0.086,3017364441286796544
2M05351304-0520302,554,83.80433333,-5.34172222,30.84,0.43,-1.3,0.19,1.12,0.31,4249.74,6.8,19.38,0.23,0.31,12.22,0.039,10.895,0.041,10.359,0.033,3017365918755641216
2M05351305-0521532,261,83.804375,-5.36477778,29.92,0.24,-1.65,0.05,-1.42,0.04,3825.16,14.48,9.99,1.21,1.4,13.634,0.192,12.196,0.122,11.126,0.107,
2M05351319-0524554,,83.80495833,-5.41538889,25.21,0.33,,,,,4296,9,26.69,0.38,0.95,10.398,0.028,9.041,0.037,8.123,0.023,3017363925891922688
2M05351330-0520189,109,83.80541667,-5.33858333,29.6,0.21,-0.02,0.26,1.56,2.06,4048.63,5.49,42.23,0.23,0.44,11.637,0.022,10.151,0.032,9.41,0.021,3017366674670532608
2M05351336-0522261,53,83.80566667,-5.37391667,25.87,1.45,2.45,0.36,1.29,0.33,3631.97,60.91,13.81,1.69,1.3,12.239,,11.926,0.029,10.391,,3017364333901704320
2M05351343-0521073,377,83.80595833,-5.35202778,30.99,0.22,0.88,0.05,-0.94,0.07,3814,12.61,3.85,1.61,1.27,13.641,0.066,12.009,0.052,10.987,0.043,
2M05351352-0522195,146,83.80633333,-5.37208333,31.09,0.54,-0.7,0.14,-1.02,0.32,4058.32,17.56,16.49,0.39,0.85,11.152,,10.582,0.099,8.414,,3017364338208367360
2M05351362-0519548,,83.80675,-5.33188889,30.67,1.39,,,,,4405,30,23.53,0.87,0.41,11.049,0.032,9.261,0.033,8.162,0.023,3017366674670274688
2M05351379-0519254,,83.80745833,-5.32372222,23.99,0.24,,,,,2838,7,15.29,0.92,0.37,13.138,0.038,12.41,0.042,12.096,0.041,3017366709029543808
2M05351397-0521233,117,83.80820833,-5.35647222,24.02,0.21,1.21,0.49,-0.58,0.23,4053.25,13.71,9.09,0.41,0.95,12.896,0.024,10.768,0.03,9.574,0.019,3017364441287199488
2M05351405-0519520,,83.80854167,-5.33111111,23.78,0.15,,,,,4267,7,12.32,0.28,0.68,11.444,0.03,10.644,0.04,10.154,0.036,3017366670363916928
2M05351405-0523383,507,83.80854167,-5.39397222,24.91,0.33,0.07,0.12,0.44,0.01,3921.76,8.73,60.27,0.44,0.35,10.713,,9.86,0.053,9.563,0.056,3017363960251335424
2M05351421-0520042,,83.80920833,-5.3345,26.68,0.3,,,,,4091,12,12.38,0.4,0.85,13.524,0.022,11.941,0.029,10.894,0.018,3017366674659583616
2M05351427-0524246,,83.80945833,-5.40683333,27.94,0.8,,,,,4285,20,50.89,0.46,0.41,10.458,0.035,9.489,0.03,9.087,0.018,3017363921584733312
2M05351439-0523335,521,83.80995833,-5.39263889,26.01,0.79,-0.11,0.23,-1.65,0.03,4130.95,25.34,27.82,0.55,0.66,10.42,,9.781,0.078,9.273,0.045,3017364028970884864
2M05351465-0523018,236,83.81104167,-5.38383333,30.78,0.31,1.17,0.69,-0.94,0.35,4038.46,12.69,14.62,0.46,0.78,11.769,,11.622,0.029,11.049,0.029,
2M05351471-0521063,319,83.81129167,-5.35175,29.72,0.85,-0.58,0.02,-0.82,0.05,4354.13,28.4,17.89,0.69,0.43,13.349,0.08,11.487,0.04,10.461,0.024,
2M05351498-0521598,567,83.81241667,-5.36661111,29.14,0.38,2.25,0.09,0.96,0.11,4417.59,8.65,21.56,0.06,0.25,10.753,0.077,10.068,0.029,9.873,0.018,3017364372568087808
2M05351554-0525140,,83.81475,-5.42055556,36.71,1.67,,,,,4277,9,95.71,0.6,0.21,10.02,0.033,9.047,0.038,8.732,0.033,3017360966647238272
2M05351561-0524030,37,83.81504167,-5.40083333,29.62,1.23,0.54,0.11,-1.8,0.02,4389.08,10.23,60.37,0.94,0.19,11.639,9.998,10.191,0.033,9.873,0.023,3017363960251436032
2M05351563-0522565,,83.815125,-5.38236111,30.29,1.22,,,,,4468,6,28.65,0.32,0.54,9.494,0.034,8.452,0.044,7.989,0.029,3017364127743288320
2M05351567-0525331,616,83.81529167,-5.42586111,25.57,0.48,0.09,0.2,-0.74,0.11,3951.44,9.34,22.09,0.74,1.38,11.547,0.064,10.552,0.048,9.734,0.039,3017360902234947328
2M05351571-0526283,,83.81545833,-5.44119444,25.79,1.34,,,,,3875,37,8.89,1.08,0.67,12.457,0.021,11.287,0.03,10.707,0.019,3017360524277847168
2M05351587-0522328,241,83.816125,-5.37577778,30.63,1.45,0.24,0.15,1.21,0.17,3022.39,39.1,8.83,1.63,1.35,13.127,,11.749,0.164,9.331,0.153,
2M05351606-0520363,517,83.81691667,-5.34341667,23.56,0.22,0.55,0.25,1.44,0.24,4163.85,8.74,16.04,1.49,0.83,10.905,0.034,9.931,0.037,9.401,0.026,3017365914449685888
2M05351609-0524112,173,83.81704167,-5.40311111,23.01,0.24,-1.73,0.13,-0.79,0.12,3463.66,13.22,33.2,0.69,0.9,11.489,,11.581,0.053,11.214,0.037,3017363960238504320
2M05351661-0519357,,83.81920833,-5.32658333,28.54,0.36,,,,,4098,11,19.85,0.33,0.94,12.296,0.026,10.849,0.031,9.998,0.023,3017366709030057600
2M05351671-0522309,175,83.819625,-5.37525,29.02,0.28,0.65,0.11,1.33,0.18,3659.32,26.94,11.82,1.24,1.99,11.129,,11.744,0.137,10.251,0.15,3017364132049324032
2M05351694-0525469,451,83.82058333,-5.42969444,29.4,0.37,0.31,0.04,-0.91,0.06,3660.92,13.75,54.77,1.18,0.95,12.278,0.057,11.524,0.064,11.134,0.047,3017360902223932544
2M05351697-0521452,,83.82070833,-5.36255556,47.39,3.56,,,,,6998,2,299.48,0.88,0.1,9.242,0.03,8.978,0.037,8.863,0.029,3017364372568073472
2M05351697-0523009,560,83.82070833,-5.38358333,33.28,0.3,0.78,0.13,1.15,0.04,4228.79,6.23,29.65,0.73,0.59,11.019,9.998,9.868,0.029,9.421,0.018,3017364063330453504
2M05351712-0524585,331,83.82133333,-5.41625,26.6,0.25,-0.8,0.29,-0.85,0.07,3023.52,7.83,15.66,0.29,0.39,12.167,0.077,11.576,0.054,11.087,0.068,3017360970943270912
