APOGEE_ID,ID_kim,_RAJ2000,_DEJ2000,rv,rv_e,pmRA,pmRA_e,pmDE,pmDE_e,teff,teff_e,vsini,vsini_e,veiling,note
2M05351149-0526023,,83.79787500,-5.43397222,19.04,0.18,,,,,4370,6,42.42,1.60,0.16,
2M05351163-0522515,75,83.79845833,-5.38097222,25.36,0.24,-0.04,0.79,-0.20,0.24,3054.10,16.36,11.06,1.01,0.99,
2M05351165-0524213,191,83.79854167,-5.40591667,25.25,0.14,0.34,0.13,-0.52,0.14,3029.60,7.19,12.41,0.51,0.86,
2M05351178-0521555,150,83.79908333,-5.36541667,26.84,1.28,-0.03,0.66,-0.30,0.94,2929.69,8.11,12.07,1.17,0.51,
2M05351188-0521032,38,83.79950000,-5.35088889,27.48,0.24,-0.25,0.15,0.33,0.52,4292.95,5.88,10.65,0.48,0.74,C
2M05351197-0522541,248,83.79987500,-5.38169444,93.82,39.46,0.82,0.57,-0.00,0.53,3781.89,82.67,255.27,23.13,7.21,
2M05351227-0520452,526,83.80112500,-5.34588889,28.05,1.13,1.26,0.34,0.46,0.36,3351.49,12.02,7.51,0.52,0.78,
2M05351227-0523479,,83.80112500,-5.39663889,27.37,0.23,,,,,4216,6,12.34,0.31,0.37,
2M05351259-0523440,,83.80245833,-5.39555556,27.42,1.27,,,,,4445,8,41.44,0.64,0.45,
2M05351269-0519353,,83.80287500,-5.32647222,30.15,0.19,,,,,3713,13,7.39,0.87,0.58,
2M05351277-0520349,56,83.80320833,-5.34302778,21.73,0.65,0.71,0.15,0.71,0.20,3054.25,12.07,13.47,0.89,1.08,
2M05351304-0520302,554,83.80433333,-5.34172222,30.84,0.43,-1.30,0.19,1.12,0.31,4249.74,6.80,19.38,0.23,0.31,
2M05351305-0521532,261,83.80437500,-5.36477778,29.92,0.24,-1.65,0.05,-1.42,0.04,3825.16,14.48,9.99,1.21,1.40,
2M05351319-0524554,,83.80495833,-5.41538889,25.21,0.33,,,,,4296,9,26.69,0.38,0.95,
2M05351330-0520189,109,83.80541667,-5.33858333,29.60,0.21,-0.02,0.26,1.56,2.06,4048.63,5.49,42.23,0.23,0.44,
2M05351336-0522261,53,83.80566667,-5.37391667,25.87,1.45,2.45,0.36,1.29,0.33,3631.97,60.91,13.81,1.69,1.30,
2M05351343-0521073,377,83.80595833,-5.35202778,30.99,0.22,0.88,0.05,-0.94,0.07,3814.00,12.61,3.85,1.61,1.27,
2M05351352-0522195,146,83.80633333,-5.37208333,31.09,0.54,-0.70,0.14,-1.02,0.32,4058.32,17.56,16.49,0.39,0.85,
2M05351362-0519548,,83.80675000,-5.33188889,30.67,1.39,,,,,4405,30,23.53,0.87,0.41,
2M05351379-0519254,,83.80745833,-5.32372222,23.99,0.24,,,,,2838,7,15.29,0.92,0.37,
2M05351397-0521233,117,83.80820833,-5.35647222,24.02,0.21,1.21,0.49,-0.58,0.23,4053.25,13.71,9.09,0.41,0.95,
2M05351405-0519520,,83.80854167,-5.33111111,23.78,0.15,,,,,4267,7,12.32,0.28,0.68,
2M05351405-0523383,507,83.80854167,-5.39397222,24.91,0.33,0.07,0.12,0.44,0.01,3921.76,8.73,60.27,0.44,0.35,
2M05351421-0520042,,83.80920833,-5.33450000,26.68,0.30,,,,,4091,12,12.38,0.40,0.85,
2M05351427-0524246,,83.80945833,-5.40683333,27.94,0.80,,,,,4285,20,50.89,0.46,0.41,
2M05351439-0523335,521,83.80995833,-5.39263889,26.01,0.79,-0.11,0.23,-1.65,0.03,4130.95,25.34,27.82,0.55,0.66,
2M05351465-0523018,236,83.81104167,-5.38383333,30.78,0.31,1.17,0.69,-0.94,0.35,4038.46,12.69,14.62,0.46,0.78,
2M05351471-0521063,319,83.81129167,-5.35175000,29.72,0.85,-0.58,0.02,-0.82,0.05,4354.13,28.40,17.89,0.69,0.43,
2M05351498-0521598,567,83.81241667,-5.36661111,29.14,0.38,2.25,0.09,0.96,0.11,4417.59,8.65,21.56,0.06,0.25,V
2M05351554-0525140,,83.81475000,-5.42055556,36.71,1.67,,,,,4277,9,95.71,0.60,0.21,
2M05351561-0524030,37,83.81504167,-5.40083333,29.62,1.23,0.54,0.11,-1.80,0.02,4389.08,10.23,60.37,0.94,0.19,
2M05351563-0522565,,83.81512500,-5.38236111,30.29,1.22,,,,,4468,6,28.65,0.32,0.54,
2M05351567-0525331,616,83.81529167,-5.42586111,25.57,0.48,0.09,0.20,-0.74,0.11,3951.44,9.34,22.09,0.74,1.38,
2M05351571-0526283,,83.81545833,-5.44119444,25.79,1.34,,,,,3875,37,8.89,1.08,0.67,
