solution_id,DESIGNATION,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat,dist
1636042515805110273,Gaia EDR3 3017363410496160000,3017363410496160000,286810875,2016.0,83.77880679705449,0.12966374,-5.43350523663352,0.10522122,2.664755744014227,0.14900751,17.883366,2.3080728,1.828500447620732,0.17073828,1.4084694927568817,0.123891845,0.59923625,-0.2360237,-0.5924184,-0.5920909,-0.18096642,-0.5546172,-0.7091262,0.24606052,0.2571022,0.44921437,365,0,362,3,-3.2401218,577.1247,0.6070732,7.287879,95,False,,1.19345,0.023950567,-0.09860316,-0.15234904,-0.09282344,-0.08186317,0.14134403,43,17,0.28364417,47,30,2,0.048242304,164.77579,0,0,0.8801655,0.24154066,0.33540562,0.20007238,0.48307994,169.19281,-15.926203,9.860616,-40.60845,False,353,2524.1859227533187,23.810232,106.01266,17.182064,38,11487.852530750934,995.63544,11.538212,15.187945,39,12198.139509376526,838.5092,14.547413,14.532162,0,24,0,24,0,9.383616,0.65578365,-1.9941187,2.6499023,,,0,,,,209.03317164900193,-19.439201994068682,82.93394590705914,-28.720317829259766,0.05986594709664885
1636042515805110273,Gaia EDR3 3017360558637610880,3017360558637610880,1701376619,2016.0,83.78584015506028,0.13936996,-5.438732852787961,0.1192936,2.2860159493468943,0.2156713,10.599537,3.7580907,3.1017824188471037,0.19806886,2.1218370433859994,0.14412157,0.24839355,-0.13229586,-0.26908317,-0.22734731,-0.020915303,-0.16061631,-0.436173,0.2942735,0.03845166,-0.002334664,392,0,391,1,-11.289009,840.50604,1.1166673,13.108755,95,False,,0.97972643,0.03824515,0.011697169,-0.13903405,-0.17422903,-0.26852208,0.18029127,46,19,0.28322437,52,32,0,0.20168574,92.36421,0,0,0.6214124,0.22889164,0.28714505,0.18200898,0.5272482,169.15009,-15.77552,11.355101,-42.472572,False,382,1681.2963575981773,19.5416,86.03678,17.623257,43,11603.90196547547,655.6315,17.698818,15.177032,47,12969.180709397904,868.0695,14.940256,14.465614,0,2,0,4,0,14.615557,0.71141815,-2.4462242,3.1576424,,,0,,,,209.04147332993406,-19.435320485632147,82.94162757394132,-28.725883103237724,0.05995112364967706
1636042515805110273,Gaia EDR3 3017360318119414784,3017360318119414784,173818315,2016.0,83.8249144241318,0.13546652,-5.4474254842370815,0.11577171,2.5129456568099506,0.19032805,13.203234,1.3696783,1.3308296890538927,0.17320819,-0.3238993973201607,0.13594513,0.35195157,-0.012123099,-0.3434722,-0.28523126,-0.061089464,-0.24228662,-0.49722266,0.28313252,0.09540945,0.12460338,349,0,347,2,-7.721137,471.00742,0.6884884,4.3759036,95,False,,1.1055784,0.03370759,-0.010367658,-0.09689791,-0.12667897,-0.17078882,0.07397498,41,20,0.25752106,45,26,1,0.007109069,166.6964,0,0,0.7185535,0.12044156,0.32716328,0.14968371,0.5506577,147.44888,-24.092272,6.9421687,-43.137657,False,330,1546.3652388770909,10.303646,150.07942,17.714087,36,7757.492069173144,947.08887,8.190881,15.614239,40,9239.845628009067,903.69165,10.224556,14.833734,1,24,1,26,0,10.9918,0.7805052,-2.0998478,2.880353,,,0,,,,209.06834085735719,-19.404554271405278,82.98544856660783,-28.73646932822475,0.059956396824346066
1636042515805110273,Gaia EDR3 3017366674670312192,3017366674670312192,1075139643,2016.0,83.80250015094259,0.38102904,-5.329305316811725,0.35605806,2.405531268519952,0.568031,4.234859,3.061808,1.7578060054643783,0.49861932,-2.506947800089699,0.4113164,0.047612473,-0.013672116,-0.16349085,-0.010824907,-0.0020815409,0.039347008,-0.49162182,0.21147822,0.09341648,-0.06983974,359,8,356,3,-9.67153,452.07852,1.8523482,3.1659207,95,False,,1.0515504,0.10630473,0.07271032,-0.10320004,-0.04257623,-0.120406225,0.11616144,45,20,0.7036332,46,29,2,0.030785395,89.49428,0,0,0.65689254,,,,,,,,,False,336,396.2998237308754,2.5726624,154.0427,19.192307,38,13960.19795983898,940.60754,14.8416815,14.976314,32,17564.963018145238,112.17546,156.58472,14.136277,0,38,0,32,0,79.54877,0.8400364,-4.215993,5.0560293,,,0,,,,208.94596245020182,-19.37102458482651,82.96662178611881,-28.617399952543245,0.06052569763048483
1636042515805110273,Gaia EDR3 3017363852865328896,3017363852865328896,1452786243,2016.0,83.75779813325124,0.3777009,-5.398250899576471,0.3279655,1.7751785903682271,0.58450645,3.0370555,0.54682916,-0.5464495941418682,0.5380523,-0.020370224732027625,0.4206382,0.12579475,-0.03770399,-0.085417576,-0.040102668,-0.09898131,-0.039443567,-0.2667284,0.25564718,0.054931045,0.018247379,355,0,353,2,-0.6747397,476.43173,2.0850027,3.7835703,95,False,,1.1449882,0.105668426,0.0054885596,-0.0738644,-0.15383016,-0.12280104,0.22491771,43,18,0.75553095,43,23,0,0.01502444,93.07968,0,0,0.97354466,0.14677057,0.23405957,0.20812789,0.6294159,173.97112,-21.238094,3.3689866,-43.79924,False,340,320.9765785564555,2.036006,157.65012,19.421183,19,3661.1270930570713,890.49927,4.1113195,16.429504,25,543.6729056608425,44.160763,12.311221,17.909552,0,5,0,3,0,13.100021,-1.4800472,-2.9916782,1.511631,,,0,,,,208.9897969267731,-19.441911633838707,82.91210865665589,-28.684076658445814,0.060584322220869014
1636042515805110273,Gaia EDR3 3017366743390014720,3017366743390014720,591753623,2016.0,83.79290318464633,0.06982289,-5.332297527774367,0.06456284,2.4662719676265246,0.10194129,24.193062,1.726059,-0.05993912305953486,0.093349345,1.7250179322889136,0.0766475,-0.027623223,-0.041240238,-0.15423156,0.12930705,-0.108573616,0.14990608,-0.48633847,0.26937142,0.12494947,-0.07812599,400,0,399,1,-8.797076,607.9149,0.4587841,5.639563,95,False,,1.1348228,0.0190889,-0.0029415323,-0.13018975,-0.040304754,-0.20806758,0.17145832,46,21,0.13302265,49,29,0,0.0383557,98.06811,1,0,0.7024967,0.16536509,0.21657445,0.14729264,0.51530635,-155.58047,-7.829109,-3.1348436,-44.841415,False,383,3031.4053469948926,15.142232,200.1954,16.983257,29,8903.600151522152,1176.0698,7.570639,15.464628,40,10828.454031372918,1033.8827,10.473581,14.661479,0,20,2,24,0,6.50921,0.8031492,-1.5186291,2.3217783,,,0,,,,208.94420586142243,-19.380899509393466,82.95558260789585,-28.619920772932023,0.06085438359907328
1636042515805110273,Gaia EDR3 3017365231561828480,3017365231561828480,1768130726,2016.0,83.77031263662214,0.1491504,-5.349309017273167,0.121475935,2.3929229156187684,0.22328094,10.717094,1.0591745,0.9179359638890441,0.1913509,-0.528435618392774,0.15002531,0.03055079,-0.086106844,-0.028710866,-0.0660529,-0.058961406,0.019531913,-0.38151464,0.07885941,0.28889647,-0.155049,351,0,349,2,-4.1986194,493.13016,0.82768184,4.323486,95,False,,1.1489911,0.03839947,0.08537593,-0.111744545,-0.060025666,-0.13140745,0.15183349,42,19,0.2693726,44,27,3,0.052984346,139.50063,0,0,0.8431401,0.14988841,0.25423437,0.16767733,0.51726013,175.66248,-3.2495592,5.1537743,-42.081932,False,328,1285.9749640462583,11.316373,113.63844,17.914286,34,7957.574720092528,972.18896,8.185214,15.586591,38,8212.294046578114,815.91644,10.065117,14.961734,0,20,0,23,0,12.574016,0.62485695,-2.327695,2.9525518,,,0,,,,208.94949490353557,-19.40865582451938,82.9290369989102,-28.63580765709915,0.06099167555561762
1636042515805110273,Gaia EDR3 3017360623049874176,3017360623049874176,1006128076,2016.0,83.84250365728377,1.0570751,-5.4437510993541585,0.84916687,,,,,,,,,0.2857061,,,,,,,,,,369,0,369,0,573.2544,1269120.6,11.076124,46959.92,3,False,,,,,,,,,42,19,2.0126286,52,41,0,0.181421,33.862133,48,4,,0.18563208,0.3091201,0.1710808,0.4792435,162.59363,-14.72577,7.253493,-41.74332,True,355,30269.3413263936,263.1283,115.03644,14.484859,44,20318.150340688448,1183.4408,17.168709,14.568831,39,55266.76500698767,1155.6554,47.822876,12.891735,0,44,0,39,0,2.4970782,1.6770964,0.08397198,1.5931244,,,0,,,,209.07325766251128,-19.38727459809889,83.00559802196199,-28.73365252080479,0.06104908162629059
1636042515805110273,Gaia EDR3 3017366709029731456,3017366709029731456,156941515,2016.0,83.80912417148498,56.44325,-5.327447671437804,63.489956,,,,,,,,,0.36030474,,,,,,,,,,32,0,32,0,25.075619,941.2,181.86542,114.656006,3,False,,,,,,,,,6,6,182.65598,6,3,1,0.44118378,6.7235823,0,0,,0.32549113,0.17736496,0.1259985,0.6859877,1.4637138,-37.36242,57.17028,40.413055,False,32,46.910394857074884,3.7951577,12.360592,21.509193,5,15238.695332569556,3517.314,4.332481,14.881173,3,20848.514514886792,185.30542,112.50893,13.950208,0,5,0,3,0,769.2796,0.9309654,-6.6280203,7.5589857,,,0,,,,208.94737111870904,-19.3643026807147,82.97422944012236,-28.61586699009387,0.061054338353780976
1636042515805110273,Gaia EDR3 3017363479208251008,3017363479208251008,759576653,2016.0,83.768454916067,6.1750064,-5.424290447906242,4.8647075,,,,,,,,,-0.14839059,,,,,,,,,,84,0,84,0,40.775288,2492.3135,25.568985,183.91837,3,False,,,,,,,,,10,9,11.606039,11,7,1,0.17419033,120.52754,0,0,,0.19860029,0.29172358,0.20594932,0.4657567,27.654291,10.770734,2.387569,42.64381,False,77,86.41265267601551,3.3043003,26.151573,20.845924,4,10707.100658049843,4297.0713,2.4917204,15.264362,3,1104.202797924818,285.15643,3.8722703,17.140274,0,4,0,3,0,136.68489,-1.8759117,-5.581562,3.7056503,,,0,,,,209.01951401399103,-19.44422682122912,82.92272641127781,-28.710607258316273,0.06110418927324335
