[HC2000],RAJ2000,DEJ2000,l_Kmag,Kmag,l_Hmag,Hmag,e_Kmag,e_Hmag
100,05 35 08.53,-05 24 41.7, ,11.692, ,12.228,0.003,0.004
101,05 35 24.70,-05 24 44.2, ,15.183, ,17.821,0.027,0.158
102,05 35 08.58,-05 24 40.4, ,11.412, ,12.71,0.002,0.005
103,05 35 19.66,-05 24 42.2, ,      , ,18.285,      ,0.273
104,05 35 17.82,-05 24 41.1, ,12.874, ,13.534,0.009,0.011
105,05 35 11.32,-05 24 38.3, ,12.835, ,16.403,0.004,0.022
106,05 35 12.49,-05 24 38.1, ,13.163, ,17.07,0.004,0.039
107,05 35 17.15,-05 24 39.0, ,13.246, ,14.196,0.01,0.013
108,05 35 18.33,-05 24 38.9, ,11.64, ,12.331,0.004,0.004
109,05 35 18.29,-05 24 38.9,>,11.568,>,12.321,0.004,0.004
110,05 35 24.44,-05 24 39.8, ,9.136, ,9.872,0.003,0.003
111,05 35 11.15,-05 24 36.5, ,15.385, ,16.424,0.042,0.04
112,05 35 16.39,-05 24 37.2, ,11.167, ,12.351,0.004,0.003
113,05 35 24.73,-05 24 38.5, ,16.266, ,16.248,0.359,0.234
114,05 35 25.03,-05 24 38.4, ,13.944, ,14.437,0.007,0.007
115,05 35 08.31,-05 24 35.0, ,11.67, ,12.033,0.002,0.002
116,05 35 06.53,-05 24 33.3, ,14.801, ,16.272,0.009,0.021
117,05 35 12.13,-05 24 33.9, ,12.71, ,13.658,0.005,0.006
118,05 35 17.13,-05 24 34.4, ,15.101, ,16.327,0.075,0.09
119,05 35 24.70,-05 24 35.7, ,9.869, ,10.604,0.002,0.003
120,05 35 16.82,-05 24 32.2, ,11.118, ,12.365,0.005,0.006
121,05 35 22.09,-05 24 32.8, ,10.593, ,11.135,0.002,0.003
122,05 35 15.90,-05 24 31.2, ,12.553, ,13.427,0.008,0.006
123,05 35 19.64,-05 24 31.6, ,14.614, ,15.547,0.026,0.022
124,05 35 17.82,-05 24 30.6, ,11.815, ,12.151,0.004,0.003
125,05 35 18.22,-05 24 30.3, ,12.189, ,12.527,0.003,0.002
126,05 35 16.63,-05 24 28.1, ,13.641, ,15.804,0.019,0.044
127,05 35 11.33,-05 24 26.6, ,14.547, ,15.514,0.012,0.013
128,05 35 12.70,-05 24 26.5, ,12.171, ,13.17,0.005,0.005
129,05 35 25.70,-05 24 28.6, ,15.739, ,16.869,0.08,0.124
130,05 35 13.88,-05 24 26.2, ,11.93, ,15.036,0.008,0.016
131,05 35 18.38,-05 24 26.8,>,11.217,>,11.73,0.004,0.003
132,05 35 13.61,-05 24 25.8, ,11.278, ,11.561,0.003,0.003
133,05 35 19.66,-05 24 26.6, ,9.156, ,9.912,0.002,0.002
134,05 35 13.93,-05 24 25.5,>,12.335,>,14.481,0.01,0.01
135,05 35 14.28,-05 24 24.7, ,9.131, ,9.543,0.003,0.003
136,05 35 21.98,-05 24 26.1, ,14.87, ,15.535,0.05,0.049
137,05 35 15.79,-05 24 24.7, ,11.559, ,12.207,0.006,0.005
138,05 35 17.27,-05 24 24.2, ,12.748, ,12.857,0.007,0.004
139,05 35 22.19,-05 24 24.9, ,9.411, ,9.816,0.002,0.002
140,05 35 11.65,-05 24 21.6, ,11.251, ,11.851,0.004,0.003
141,05 35 20.55,-05 24 20.9, ,11.153, ,11.778,0.003,0.003
142,05 35 22.12,-05 24 20.2, ,11.978, ,12.7,0.004,0.004
143,05 35 18.32,-05 24 19.0, ,14.998, ,15.63,0.025,0.025
144,05 35 10.31,-05 24 17.5, ,12.944, ,14.893,0.009,0.011
145,05 35 15.91,-05 24 17.9, ,12.932, ,13.724,0.017,0.014
146,05 35 10.55,-05 24 16.8, ,10.914, ,12.131,0.004,0.004
147,05 35 14.97,-05 24 17.2, ,13.728, ,14.94,0.045,0.043
148,05 35 11.27,-05 24 16.5, ,14.835, ,16.627,0.027,0.082
149,05 35 15.16,-05 24 17.1, ,16.065, ,      ,0.489,
150,05 35 17.48,-05 24 17.4, ,11.953, ,12.427,0.006,0.005
151,05 35 18.89,-05 24 17.5, ,11.689, ,12.233,0.004,0.003
152,05 35 23.81,-05 24 16.8, ,11.72, ,12.241,0.005,0.004
153,05 35 17.39,-05 24 13.9, ,11.932, ,12.36,0.004,0.003
154,05 35 14.93,-05 24 12.9,>,11.068,>,11.174,0.006,0.006
155,05 35 22.33,-05 24 14.2, ,9.667, ,10.251,0.002,0.002
156,05 35 22.43,-05 24 13.4, ,12.575, ,13.022,0.012,0.007
157,05 35 14.90,-05 24 11.8,>,10.971,>,11.408,0.008,0.005
158,05 35 15.77,-05 24 11.5, ,12.881, ,13.369,0.01,0.008
159,05 35 16.10,-05 24 11.5, ,11.375, ,11.731,0.006,0.006
160,05 35 21.33,-05 24 11.4, ,11.617, ,11.78,0.004,0.003
161,05 35 25.38,-05 24 11.4, ,10.378, ,11.078,0.003,0.002
162,05 35 17.58,-05 24 09.0, ,12.481, ,13.414,0.006,0.006
163,05 35 18.48,-05 24 07.0, ,10.478, ,10.967,0.003,0.002
164,05 35 23.26,-05 24 07.4, ,13.77, ,14.907,0.016,0.018
165,05 35 16.58,-05 24 06.1, ,10.646, ,11.042,0.006,0.006
166,05 35 08.23,-05 24 03.3, ,11.899, ,12.25,0.005,0.003
167,05 35 25.27,-05 24 06.5, ,15.021, ,16.038,0.033,0.044
168,05 35 18.34,-05 24 04.9, ,12.326, ,12.534,0.006,0.005
169,05 35 12.47,-05 24 03.7, ,14.071, ,16.349,0.032,0.126
170,05 35 16.77,-05 24 04.3, ,      , ,9.311,0.002,0.003
171,05 35 16.38,-05 24 03.4, ,      , ,9.159,0.004,0.003
172,05 35 15.62,-05 24 03.1, ,9.793, ,10.111,0.003,0.003
173,05 35 10.04,-05 24 02.0, ,12.303, ,13.249,0.004,0.004
174,05 35 18.04,-05 24 03.1, ,      , ,9.892,0.003,0.004
175,05 35 07.64,-05 24 00.8, ,11.839, ,12.019,0.005,0.002
176,05 35 19.93,-05 24 02.6, ,11.781, ,12.15,0.005,0.003
177,05 35 18.08,-05 24 01.2, ,10.326, ,11.001,0.005,0.005
178,05 35 13.55,-05 23 59.7, ,11.373, ,13.006,0.005,0.008
179,05 35 09.94,-05 23 59.0, ,16.443, ,16.727,0.091,0.038
180,05 35 17.39,-05 24 00.3, ,10.044, ,11.197,0.002,0.002
181,05 35 24.96,-05 24 01.5, ,10.953, ,11.692,0.004,0.004
182,05 35 16.96,-05 23 59.5, ,13.237, ,14.264,0.04,0.058
183,05 35 24.47,-05 24 01.1, ,11.805, ,12.695,0.006,0.004
184,05 35 21.20,-05 24 00.1, ,12.644, ,13.24,0.006,0.007
185,05 35 18.51,-05 23 57.8, ,13.407, ,14.221,0.013,0.014
186,05 35 09.69,-05 23 55.9, ,10.637, ,11.61,0.003,0.003
188,05 35 19.62,-05 23 57.3, ,11.594, ,11.797,0.004,0.003
189,05 35 14.53,-05 23 56.0, ,11.227, ,12.676,0.028,0.026
190,05 35 13.23,-05 23 55.5, ,14.251, ,15.887,0.039,0.083
191,05 35 18.68,-05 23 56.5, ,12.076, ,12.508,0.007,0.005
192,05 35 13.59,-05 23 55.3, ,10.242, ,13.125,0.012,0.022
193,05 35 14.53,-05 23 55.1,>,11.984,>,12.543,0.036,0.031
194,05 35 17.55,-05 23 55.1, ,14.059, ,15.683,0.029,0.07
195,05 35 15.04,-05 23 54.5, ,12.247, ,12.587,0.015,0.012
196,05 35 21.02,-05 23 55.7, ,12.026, ,12.432,0.004,0.003
197,05 35 21.89,-05 23 55.5, ,10.989, ,11.482,0.003,0.006
198,05 35 13.38,-05 23 53.2, ,12.151, ,13.046,0.005,0.007
199,05 35 13.32,-05 23 53.1,>,12.343,>,13.27,0.01,0.011
200,05 35 22.54,-05 23 54.8, ,15.493, ,16.03,0.03,0.029
201,05 35 24.45,-05 23 55.0, ,13.257, ,13.831,0.009,0.007
202,05 35 16.00,-05 23 53.0, ,9.002, ,9.807,0.007,0.006
203,05 35 11.48,-05 23 52.1, ,12.526, ,14.264,0.014,0.028
204,05 35 21.81,-05 23 53.9, ,9.372, ,9.783,0.003,0.003
205,05 35 11.73,-05 23 51.8, ,12.328, ,12.794,0.007,0.008
206,05 35 12.39,-05 23 51.7, ,12.18, ,13.898,0.008,0.015
207,05 35 20.68,-05 23 53.2, ,10.783, ,11.106,0.003,0.002
208,05 35 25.08,-05 23 53.8, ,10.525, ,11.078,0.004,0.004
209,05 35 14.57,-05 23 50.8, ,13.226, ,14.175,0.012,0.019
210,05 35 19.86,-05 23 51.6, ,14.676, ,15.388,0.025,0.018
211,05 35 15.25,-05 23 49.8, ,16.704, ,16.839,1.075,0.746
212,05 35 23.54,-05 23 51.0, ,14.22, ,14.921,0.027,0.024
213,05 35 15.95,-05 23 49.9, ,      , ,      ,0.008,0.007
214,05 35 19.07,-05 23 49.6, ,10.085, ,11.118,0.002,0.003
215,05 35 12.28,-05 23 48.1, ,9.72, ,10.027,0.003,0.003
216,05 35 23.15,-05 23 49.3, ,13.929, ,14.6,0.01,0.01
217,05 35 21.05,-05 23 49.0, ,      , ,      ,0.003,0.004
218,05 35 21.73,-05 23 48.4, ,12.962, ,13.379,0.008,0.011
219,05 35 15.16,-05 23 46.7, ,10.918, ,11.49,0.012,0.008
220,05 35 14.82,-05 23 46.5, ,11.514, ,11.864,0.005,0.004
221,05 35 18.21,-05 23 46.3, ,14.459, ,15.167,0.042,0.037
222,05 35 13.68,-05 23 45.4, ,13.882, ,15.739,0.032,0.089
223,05 35 15.44,-05 23 45.5, ,9.88, ,10.463,0.003,0.003
224,05 35 10.74,-05 23 44.7, ,      , ,      ,0.005,0.005
225,05 35 21.31,-05 23 46.0,>,10.875,>,11.536,0.004,0.005
226,05 35 25.09,-05 23 46.7, ,9.931, ,10.205,0.003,0.003
227,05 35 23.66,-05 23 46.4, ,10.962, ,11.365,0.003,0.004
228,05 35 12.60,-05 23 44.2, ,      , ,9.229,0.002,0.003
229,05 35 21.37,-05 23 45.4, ,10.278, ,10.904,0.003,0.004
230,05 35 17.79,-05 23 44.2, ,11.48, ,11.748,0.008,0.006
231,05 35 25.39,-05 23 45.8, ,12.852, ,13.315,0.01,0.011
232,05 35 26.50,-05 23 45.0, ,11.636, ,12.466,0.003,0.003
233,05 35 22.55,-05 23 43.7, ,10.186, ,10.603,0.002,0.003
234,05 35 17.77,-05 23 42.6, ,11.779, ,12.328,0.018,0.016
235,05 35 16.84,-05 23 42.3, ,13.247, ,14.546,0.021,0.033
236,05 35 15.70,-05 23 41.9, ,14.123, ,17.028,0.055,0.48
237,05 35 17.41,-05 23 41.8, ,13.444, ,13.743,0.047,0.028
238,05 35 11.72,-05 23 40.5, ,11.358, ,11.703,0.004,0.002
239,05 35 17.33,-05 23 41.4, ,12.145, ,12.949,0.005,0.006
240,05 35 13.45,-05 23 40.4, ,9.469, ,10.497,0.003,0.003
241,05 35 17.68,-05 23 41.0, ,11.664, ,12.217,0.005,0.004
242,05 35 13.80,-05 23 40.2, ,11.579, ,15.292,0.014,0.156
243,05 35 09.90,-05 23 38.5, ,12.139, ,12.622,0.003,0.003
244,05 35 17.06,-05 23 39.8, ,10.151, ,10.711,0.005,0.004
245,05 35 14.95,-05 23 39.3, ,9.517, ,9.818,0.003,0.003
246,05 35 15.68,-05 23 39.1, ,10.724, ,12.552,0.004,0.012
247,05 35 14.05,-05 23 38.5, ,9.732, ,9.93,0.003,0.003
248,05 35 15.76,-05 23 38.4, ,11.168, ,12.802,0.014,0.028
249,05 35 21.78,-05 23 39.3, ,10.907, ,11.395,0.002,0.003
250,05 35 15.90,-05 23 38.0, ,12.144, ,12.803,0.008,0.006
251,05 35 15.52,-05 23 37.5, ,11.093, ,12.097,0.006,0.006
252,05 35 16.98,-05 23 37.1, ,9.314, ,10.238,0.005,0.004
253,05 35 18.21,-05 23 35.9, ,      , ,      ,0.005,0.003
254,05 35 13.86,-05 23 35.0, ,14.526, ,15.655,0.083,0.094
255,05 35 21.67,-05 21 47.4,>,9.624,>,10.571,0.004,0.005
256,05 35 17.97,-05 23 35.5, ,11.438, ,11.719,0.006,0.006
257,05 35 11.73,-05 23 33.5, ,13.847, ,17.591,0.011,0.242
258,05 35 14.40,-05 23 33.7, ,9.386, ,9.858,0.002,0.004
259,05 35 17.07,-05 23 34.0, ,      , ,      ,0.006,0.004
260,05 35 10.69,-05 23 32.8, ,14.369, ,16.406,0.014,0.098
261,05 35 15.38,-05 23 33.4, ,11.137, ,11.424,0.004,0.007
262,05 35 23.81,-05 23 34.3, ,9.174, ,10.266,0.005,0.003
263,05 35 12.15,-05 23 32.0, ,15.333, ,17.226,0.046,0.112
264,05 35 21.18,-05 23 33.1, ,12.407, ,12.873,0.004,0.004
265,05 35 23.89,-05 23 33.3,>,10.925,>,12.063,0.008,0.007
266,05 35 13.53,-05 23 30.9, ,11.221, ,11.536,0.005,0.006
267,05 35 11.73,-05 23 30.5, ,12.6, ,14.306,0.013,0.029
268,05 35 25.43,-05 23 33.4, ,11.451, ,11.983,0.002,0.003
269,05 35 18.20,-05 23 31.5, ,12.451, ,13.032,0.007,0.007
270,05 35 23.66,-05 23 31.9, ,10.503, ,10.973,0.005,0.003
271,05 35 18.05,-05 23 30.8, ,12.804, ,13.59,0.011,0.013
272,05 35 20.50,-05 23 31.1, ,11.489, ,11.604,0.005,0.005
273,05 35 13.41,-05 23 29.3, ,14.106, ,15.888,0.049,0.123
274,05 35 15.56,-05 23 29.6, ,12.959, ,13.803,0.03,0.025
275,05 35 14.93,-05 23 29.1, ,10.191, ,10.863,0.003,0.004
276,05 35 14.66,-05 23 28.7, ,13.472, ,14.21,0.025,0.011
277,05 35 20.46,-05 23 29.7, ,9.125, ,9.848,0.003,0.004
278,05 35 18.50,-05 23 29.3, ,12.051, ,12.412,0.009,0.006
279,05 35 20.43,-05 23 29.7,>,9.29,>,10.061,0.003,0.002
280,05 35 16.66,-05 23 28.9, ,12.115, ,12.985,0.008,0.015
281,05 35 23.64,-05 23 29.9, ,13.684, ,14.924,0.014,0.012
282,05 35 18.88,-05 23 28.9, ,10.944, ,11.565,0.007,0.005
283,05 35 09.78,-05 23 27.0, ,9.599, ,9.729,0.003,0.002
284,05 35 16.77,-05 23 28.1, ,11.125, ,11.906,0.021,0.019
285,05 35 16.08,-05 23 27.9, ,13.112, ,13.694,0.01,0.024
286,05 35 10.94,-05 23 26.7, ,14.372, ,15.616,0.03,0.043
287,05 35 15.80,-05 23 26.6, ,9.817, ,10.847,0.004,0.009
288,05 35 19.12,-05 23 27.1, ,10.622, ,11.064,0.004,0.003
289,05 35 16.85,-05 23 26.2, ,10.999, ,11.449,0.033,0.02
290,05 35 08.62,-05 23 24.4, ,13.467, ,14.235,0.003,0.004
291,05 35 15.84,-05 23 25.6, ,10.395, ,11.064,0.01,0.01
292,05 35 16.35,-05 23 25.3,>,10.792,>,10.486,0.037,0.019
293,05 35 16.73,-05 23 25.2, ,9.142, ,9.309,0.007,0.008
294,05 35 21.63,-05 23 25.8, ,12.569, ,13.249,0.006,0.007
295,05 35 17.57,-05 23 24.9, ,10.501, ,11.787,0.01,0.008
296,05 35 16.07,-05 23 24.3, ,12.818, ,14.713,0.067,0.222
297,05 35 15.36,-05 23 24.1,>,13.084,>,13.08,0.053,0.029
298,05 35 15.07,-05 23 23.4, ,15.028, ,15.167,0.145,0.083
299,05 35 15.30,-05 23 23.2, ,12.533, ,12.702,0.016,0.009
300,05 35 14.40,-05 23 23.1, ,12.948, ,13.683,0.012,0.014
301,05 35 13.26,-05 23 22.8, ,15.377, ,16.553,0.05,0.092
302,05 35 14.72,-05 23 22.9, ,10.541, ,11.422,0.003,0.004
303,05 35 16.10,-05 23 23.2, ,12.844, ,      ,0.065,
304,05 35 15.97,-05 23 22.7, ,12.654, ,12.471,0.053,0.008
305,05 35 10.22,-05 23 21.6, ,      , ,9.697,0.003,0.003
306,05 35 15.84,-05 23 22.5, ,      , ,9.711,0.004,0.005
307,05 35 15.73,-05 23 22.5, ,9.259, ,10.045,0.005,0.004
308,05 35 20.52,-05 23 23.0, ,12.158, ,13.083,0.004,0.005
309,05 35 16.46,-05 23 23.0, ,      , ,      ,0.068,0.074
310,05 35 15.35,-05 23 21.4, ,15.832, ,17.06,0.365,0.716
311,05 35 18.97,-05 23 22.0, ,13.095, ,13.605,0.006,0.011
312,05 35 20.92,-05 23 21.8, ,11.794, ,12.245,0.002,0.004
313,05 35 17.47,-05 23 21.1, ,9.687, ,10.459,0.007,0.005
314,05 35 13.93,-05 23 20.2, ,12.111, ,12.534,0.009,0.011
315,05 35 17.16,-05 23 20.4, ,12.375, ,13.144,0.012,0.012
316,05 35 23.34,-05 23 20.8, ,15.181, ,16.175,0.03,0.034
317,05 35 16.24,-05 23 19.1, ,11.534, ,13.693,0.045,0.202
318,05 35 15.21,-05 23 18.9, ,11.639, ,12.265,0.009,0.009
319,05 35 23.72,-05 23 19.9, ,11.194, ,11.985,0.004,0.004
320,05 35 10.27,-05 23 16.4, ,11.519, ,12.683,0.003,0.005
321,05 35 06.44,-05 23 15.3, ,12.286, ,12.695,0.004,0.003
322,05 35 16.29,-05 23 16.6, ,9.435, ,9.982,0.004,0.004
323,05 35 16.76,-05 23 16.4, ,9.198, ,9.838,0.007,0.005
324,05 35 14.84,-05 23 16.0, ,11.899, ,12.06,0.012,0.007
325,05 35 16.63,-05 23 16.1, ,10.816, ,11.772,0.013,0.018
326,05 35 21.25,-05 23 16.8, ,13.084, ,14.141,0.007,0.011
327,05 35 15.54,-05 23 15.8, ,12.663, ,13.329,0.046,0.027
328,05 35 21.51,-05 23 16.7, ,10.785, ,11.323,0.003,0.003
329,05 35 11.09,-05 23 14.7, ,13.021, ,14.693,0.006,0.01
330,05 35 17.24,-05 23 16.6, ,      , ,      ,0.027,0.034
331,05 35 18.25,-05 23 15.7, ,10.563, ,11.536,0.003,0.006
332,05 35 17.82,-05 23 15.6, ,9.87, ,10.169,0.004,0.004
333,05 35 17.74,-05 23 14.9, ,11.619, ,12.294,0.014,0.008
334,05 35 15.00,-05 23 14.3, ,14.269, ,15.469,0.032,0.133
335,05 35 16.11,-05 23 14.3, ,11.271, ,11.761,0.013,0.017
336,05 35 15.81,-05 23 14.3, ,      , ,      ,0.024,0.036
337,05 35 18.67,-05 23 14.0, ,      , ,      ,0.006,0.004
338,05 35 24.03,-05 23 13.9, ,11.665, ,12.531,0.004,0.003
339,05 35 22.80,-05 23 13.4, ,9.593, ,10.726,0.003,0.002
340,05 35 15.81,-05 23 12.0,>,10.015,>,10.481,0.055,0.041
341,05 35 16.41,-05 23 11.5, ,      , ,      ,      ,
342,05 35 15.85,-05 23 11.0,>,10.204,>,9.486,0.109,0.036
343,05 35 21.80,-05 23 10.7, ,10.612, ,11.119,0.002,0.003
344,05 35 15.77,-05 23 09.9, ,      , ,      ,0.011,0.012
345,05 35 14.32,-05 23 08.3, ,10.392, ,11.311,0.005,0.004
346,05 35 20.18,-05 23 08.5, ,10.478, ,11.061,0.004,0.003
347,05 35 25.72,-05 23 09.4, ,10.015, ,10.535,0.002,0.003
348,05 35 18.28,-05 23 07.5, ,11.828, ,12.321,0.004,0.006
349,05 35 16.87,-05 23 07.1, ,13.189, ,13.304,0.014,0.007
350,05 35 16.06,-05 23 07.3, ,      , ,      ,0.011,0.007
351,05 35 19.07,-05 23 07.5, ,12.805, ,14.314,0.013,0.029
352,05 35 18.88,-05 23 07.2, ,13.132, ,14.816,0.01,0.018
353,05 35 08.44,-05 23 05.0, ,12.656, ,13.312,0.005,0.005
354,05 35 16.11,-05 23 06.8, ,      , ,      ,0.02,0.032
355,05 35 21.89,-05 23 07.2,>,12.351,>,12.883,0.01,0.007
356,05 35 19.38,-05 23 06.5, ,12.912, ,14.023,0.007,0.011
357,05 35 19.11,-05 23 06.3, ,13.075, ,13.696,0.014,0.021
