#,H#,RA,Dec,K,H,TobinRV,dRV,Mass(daRio12),OurRV,dOurRv(9Mar2016)
85,425,05 35 17.95,-05 22 45.5,7.58,7.89,,,0.848,1,1
86,177,05 35 18.08,-05 24 01.2,10.326,11.001,,,0.200,,
87,253,05 35 18.21,-05 23 35.9,7.924,8.738,25.9,1.7,,,
88,331,05 35 18.25,-05 23 15.7,10.563,11.536,,,,1,1
89,436,05 35 18.38,-05 22 37.5,8.55,8.80,,,2.150,1,1
90,163,05 35 18.48,-05 24 07.0,10.478,10.967,,,0.423,,
91,337,05 35 18.67,-05 23 14.0,7.635,9.201,,,,1,1
92,713,05 35 18.71,-05 22 56.9,8.704,9.627,,,0.940,1,1
93,282,05 35 18.88,-05 23 28.9,10.944,11.565,,,0.374,,
94,214,05 35 19.07,-05 23 49.6,10.085,11.118,,,0.949,,
95,288,05 35 19.12,-05 23 27.1,10.622,11.064,0,0,0.934,,
96,408,05 35 19.22,-05 22 50.7,10.521,10.860,,,0.991,1,1
97,188,05 35 19.62,-05 23 57.3,11.594,11.797,,,0.441,,
98,277,05 35 20.46,-05 23 29.7,9.125,9.848,,,1.009,,
99,217,05 35 21.05,-05 23 49.0,8.46,8.79,,,1.850,,
100,229,05 35 21.37,-05 23 45.4,10.278,10.904,27.9,1.7,0.988,,
101,204,05 35 21.81,-05 23 53.9,9.372,9.783,23.2,3.1,0.942,,
102,197,05 35 21.89,-05 23 55.5,10.989,11.482,,,,,
